Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,62|63|79|77|66|82|71|,48.25674193548387|99.72133333333333|150.1046075949367|200.11106493506495|249.61700000000002|300.92095121951223|350.3959718309859|,10.088385426521326|11.18782945599851|10.630675900987718|10.151385250411737|8.148560359928249|10.879071237822666|10.443103614242176|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,63|61|80|77|66|83|70|,48.61193650793651|99.7013442622951|149.85365|200.11106493506495|249.61700000000002|301.14773493975906|350.83385714285714|,10.391446169231319|10.017167953045224|10.796945247499405|10.151385250411737|8.148560359928249|11.00661469582147|9.848989726704698|,0|0|62|63|375|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|62|63|375|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|62|438|0|0|,0|0|0|0|0|0|0|,33497|214|0|62|438|0|0|,15211|0|0|0|0|0|0|,18373|122|0|62|438|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,18495|62|63|79|77|66|153|,50.03006339577641|186.53814217860653|228.46487614651187|248.26966293862063|257.6247818033801|262.04382705200885|264.58880211438014|,10.005795130394961|2.842170943040401e-14|1.1368683772161603e-13|1.1368683772161603e-13|5.684341886080802e-14|5.684341886080802e-14|0.4917353107285249|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,18373|122|0|62|438|0|0|,49.84266036381917|78.25265279045139|nan|186.53814217860653|254.84173076980431|nan|nan|,9.767105451365138|3.0123901770460537|nan|2.842170943040401e-14|12.26015052228567|nan|nan|,0|0|18495|62|438|0|0|,0|0|0|0|0|0|0|,0|0|18124|0|0|0|0|,0|0|371|62|438|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|371|500|0|0|,0|0|0|0|0|0|0|,34290|231|0|371|500|0|0|,15981|0|0|0|0|0|0|,18425|112|0|371|500|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,18537|371|62|63|79|77|219|,49.87218863390652|186.53814217860653|228.46487614651184|248.26966293862077|257.6247818033801|262.0438270520089|264.9711021944038|,9.999826254259904|2.842170943040401e-14|8.526512829121202e-14|2.842170943040401e-14|5.684341886080802e-14|1.1368683772161603e-13|0.5847845876007003|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,18425|112|0|371|500|0|0|,49.70472881087826|77.42082469904601|nan|186.53814217860653|256.7284298245259|nan|nan|,9.794319468086474|2.377067644285303|nan|2.842170943040401e-14|11.93550686827162|nan|nan|,0|0|18537|371|500|0|0|,0|0|0|0|0|0|0|,0|0|18189|0|0|0|0|,0|0|348|371|500|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|348|871|0|0|,0|0|0|0|0|0|0|,44853|260|0|348|871|0|0|,25472|0|0|0|171|0|0|,19516|123|0|348|700|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|,19639|348|293|53|50|64|240|,49.974706774634505|186.53814217860656|228.46487614651178|248.26966293862077|257.6247818033801|262.0438270520088|265.13589428074545|,10.028540485451167|0.0|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|0.0|0.6497121186612297|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,19516|123|0|348|700|0|0|,49.79406996683338|78.63574694574599|nan|186.53814217860656|247.69022785078758|nan|nan|,9.794783427964068|3.029093060337175|nan|0.0|16.885360378323263|nan|nan|,0|0|19639|348|700|0|0|,0|0|0|0|0|0|0|,0|0|19307|0|5|0|0|,0|0|332|348|695|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|332|1043|0|0|,0|0|0|0|0|0|0|,42228|263|0|332|1043|0|0|,23227|0|0|0|469|0|0|,19129|135|0|332|574|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|,19264|332|192|155|30|26|171|,49.97850657415042|186.53814217860653|228.46487614651184|248.26966293862074|257.62478180337996|262.04382705200885|265.2851508884153|,9.958873041804926|2.842170943040401e-14|8.526512829121202e-14|0.0|5.684341886080802e-14|5.684341886080802e-14|0.6419379088836428|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,19129|135|0|332|574|0|0|,49.778835383909545|78.2711747083544|nan|186.53814217860653|247.82699953830854|nan|nan|,9.702345342494183|2.778662952336969|nan|2.842170943040401e-14|15.183753862050219|nan|nan|,0|0|19264|332|574|0|0|,0|0|0|0|0|0|0|,0|0|18928|0|0|0|0|,0|0|336|332|574|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|336|906|0|0|,0|0|0|0|0|0|0|,32863|201|0|336|906|0|0|,15797|0|0|0|249|0|0|,17162|102|0|336|657|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|,17264|336|240|133|117|20|147|,49.959165967963294|186.53814217860653|228.46487614651184|248.26966293862068|257.62478180337996|262.04382705200885|265.44519997305713|,10.057385779500654|2.842170943040401e-14|8.526512829121202e-14|5.684341886080802e-14|5.684341886080802e-14|5.684341886080802e-14|0.6155657508425539|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,17162|102|0|336|657|0|0|,49.79001388103534|78.41983377048739|nan|186.53814217860653|246.96325091944354|nan|nan|,9.84117495980493|3.1949350224063124|nan|2.842170943040401e-14|15.133527510679622|nan|nan|,0|0|17264|336|657|0|0|,0|0|0|0|0|0|0|,0|0|16905|0|30|0|0|,0|0|359|336|627|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|359|963|0|0|,0|0|0|0|0|0|0|,35019|224|0|359|963|0|0|,16653|0|0|0|366|0|0|,18466|120|0|359|597|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|,18586|359|202|135|83|71|106|,50.07579169644714|186.5381421786066|228.46487614651184|248.26966293862066|257.62478180338|262.0438270520089|265.56039735053673|,9.990501859965466|2.842170943040401e-14|8.526512829121202e-14|8.526512829121202e-14|0.0|1.1368683772161603e-13|0.5763206966029976|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,18466|120|0|359|597|0|0|,49.89465413343021|77.9498436853691|nan|186.5381421786066|247.57735378197526|nan|nan|,9.763841925858433|2.6103161341891314|nan|2.842170943040401e-14|14.836060348658341|nan|nan|,0|0|18586|359|597|0|0|,0|0|0|0|0|0|0|,0|0|18247|0|0|0|0|,0|0|339|359|597|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|339|956|0|0|,0|0|0|0|0|0|0|,31795|208|0|339|956|0|0|,15601|0|0|0|397|0|0|,16316|84|0|339|559|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|,16400|339|214|114|81|47|103|,49.935640153678555|186.53814217860653|228.46487614651178|248.2696629386208|257.62478180338|262.0438270520087|265.0636809061506|,9.928963399678755|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|0.0|1.1368683772161603e-13|0.8601735900037099|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,16316|84|0|339|559|0|0|,49.791130480031484|78.00492390636458|nan|186.53814217860653|246.2959774619105|nan|nan|,9.745384573016421|2.862039935303954|nan|2.842170943040401e-14|15.066459101954925|nan|nan|,0|0|16400|339|559|0|0|,0|0|0|0|0|0|0|,0|0|16028|0|0|0|0|,0|0|372|339|559|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|372|898|0|0|,0|0|0|0|0|0|0|,28592|171|0|372|898|0|0|,10794|0|0|0|274|0|0|,17845|125|0|372|624|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|,17970|372|231|161|77|57|98|,49.91724101993181|186.53814217860656|228.46487614651178|248.26966293862077|257.6247818033801|262.04382705200874|265.126950098346|,10.139850033088042|0.0|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|5.684341886080802e-14|0.7309169454814191|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,17845|125|0|372|624|0|0|,49.721508372458715|77.86003377319098|nan|186.53814217860656|245.99815636766803|nan|nan|,9.89821578470717|2.7883307279133986|nan|0.0|14.590542046469308|nan|nan|,0|0|17970|372|624|0|0|,0|0|0|0|0|0|0|,0|0|17624|0|0|0|0|,0|0|346|372|624|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|346|996|0|0|,0|0|0|0|0|0|0|,30581|209|0|346|996|0|0|,13211|0|0|0|446|0|0|,17499|76|0|346|550|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|,17575|346|191|136|94|47|82|,49.91061031013009|186.53814217860656|228.46487614651178|248.26966293862074|257.62478180338|262.0438270520087|264.9998050266678|,9.895163960463657|0.0|2.842170943040401e-14|0.0|0.0|1.1368683772161603e-13|0.7440928925253044|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,17499|76|0|346|550|0|0|,49.78869466578357|77.98168742091696|nan|186.53814217860656|246.66225250324553|nan|nan|,9.740546151061496|2.3563987389880894|nan|0.0|14.373947303123563|nan|nan|,0|0|17575|346|550|0|0|,0|0|0|0|0|0|0|,0|0|17220|0|0|0|0|,0|0|355|346|550|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|355|896|0|0|,0|0|0|0|0|0|0|,29019|167|0|355|896|0|0|,13100|0|0|0|264|0|0|,15981|105|0|355|632|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
