Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,543,49.71325230696469,9.68570906961417,538,49.43840323229827,9.29800764636185,0,0,0,0,0,0,0,0,0,485,0,0
1,100.0,409,134.45931881561046,2.842170943040401e-14,5,79.28701274107122,1.7363290406197394,543,0,35,508,0,0,0,0,0,3,0,0
2,150.0,232,181.34298546680154,5.684341886080802e-14,409,134.45931881561046,2.842170943040401e-14,409,0,13,386,0,0,489,0,42,447,0,0
3,200.0,95,218.25988232814922,1.4210854715202004e-13,327,192.0680778271319,16.76035567513799,327,0,19,308,0,0,537,0,116,421,0,0
4,250.0,76,247.3287963277921,8.526512829121202e-14,115,255.0912530618051,10.836116990220637,115,0,3,112,0,0,156,0,38,118,0,0
5,300.0,39,270.2180918255229,1.1368683772161603e-13,41,294.6648765874136,9.705695964891547,41,0,3,38,0,0,66,0,15,51,0,0
6,350.0,43,296.4043732171483,12.336738437907151,2,332.0640541267116,2.7278729742332075,2,0,0,2,0,0,3,0,0,3,0,0
Totals,7,1437,NA,NA,1437,NA,NA,1437,0,73,1354,0,0,1251,0,211,1528,0,0
