Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,445,50.41669011735686,9.456838763317858,445,50.41669011735686,9.456838763317858,0,0,0,0,0,0,0,0,0,880,0,0
1,100.0,306,134.4593188156105,0.0,0,nan,nan,445,0,5,440,0,0,0,0,0,5,0,0
2,150.0,251,181.34298546680154,5.684341886080802e-14,306,134.4593188156105,0.0,306,0,0,306,0,0,427,0,0,427,0,0
3,200.0,164,218.2598823281493,5.684341886080802e-14,415,195.93183145538234,18.048282339546788,415,0,71,344,0,0,462,0,96,366,0,0
4,250.0,97,247.32879632779216,2.842170943040401e-14,153,255.70657768643866,11.026073310120594,153,0,31,122,0,0,202,0,34,168,0,0
5,300.0,56,270.2180918255228,0.0,48,298.69443852774026,11.462385475756186,48,0,6,42,0,0,72,0,10,62,0,0
6,350.0,52,301.53231298393246,14.92771340408991,4,335.58680645823915,7.993114830376336,4,0,1,3,0,0,5,0,1,4,0,0
Totals,7,1371,NA,NA,1371,NA,NA,1371,0,114,1257,0,0,1168,0,141,1912,0,0
