Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,575,50.145881869133554,10.147803095961972,571,49.93299288669795,9.853664964730878,0,0,0,0,0,0,0,0,0,584,0,0
1,100.0,375,134.4593188156105,0.0,4,80.53578411181529,3.576042492396873,575,0,34,541,0,0,0,0,0,4,0,0
2,150.0,221,181.34298546680157,8.526512829121202e-14,375,134.4593188156105,0.0,375,0,25,350,0,0,509,0,84,425,0,0
3,200.0,146,218.25988232814936,0.0,367,196.02927141164287,18.0688989329269,367,0,81,286,0,0,466,0,121,345,0,0
4,250.0,85,247.3287963277921,8.526512829121202e-14,124,254.5278489440138,10.628023525815163,124,0,17,107,0,0,173,0,42,131,0,0
5,300.0,39,270.2180918255229,1.1368683772161603e-13,56,295.117406724663,9.636502001586008,56,0,9,47,0,0,74,0,18,56,0,0
6,350.0,60,297.9697003073233,14.23038073590448,4,337.9018104645688,5.386475991410053,4,0,1,3,0,0,3,0,0,3,0,0
Totals,7,1501,NA,NA,1501,NA,NA,1501,0,167,1334,0,0,1225,0,265,1548,0,0
