Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,615,49.49877458387415,9.77629294431364,614,49.44599298336384,9.69630021927384,0,0,0,0,0,0,0,0,0,575,0,0
1,100.0,476,134.4593188156105,0.0,1,81.90667729721137,0.0,615,0,0,615,0,0,0,0,0,1,0,0
2,150.0,215,181.34298546680157,8.526512829121202e-14,476,134.4593188156105,0.0,476,0,19,457,0,0,574,0,25,549,0,0
3,200.0,113,218.25988232814927,8.526512829121202e-14,328,194.06130664159514,17.543239653899427,328,0,14,314,0,0,606,0,148,458,0,0
4,250.0,63,247.32879632779222,2.842170943040401e-14,116,257.7868365121,11.402042256068237,116,0,6,110,0,0,153,0,21,132,0,0
5,300.0,53,270.2180918255229,1.1368683772161603e-13,37,298.20052645007786,10.473244126524193,37,0,0,37,0,0,78,0,13,65,0,0
6,350.0,41,302.0341934478083,15.404087385477709,4,337.4956131768143,4.909093775565581,4,0,1,3,0,0,4,0,0,4,0,0
Totals,7,1576,NA,NA,1576,NA,NA,1576,0,40,1536,0,0,1415,0,207,1784,0,0
