Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
169,0|1|2|3|4|5|6|,569|429|206|141|66|45|53|,49.982949209588455|134.45931881561046|181.34298546680157|218.25988232814936|247.32879632779216|270.2180918255229|299.17631699706294|,9.672123620683047|2.842170943040401e-14|8.526512829121202e-14|0.0|2.842170943040401e-14|1.1368683772161603e-13|14.546702531272128|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,566|3|429|347|111|49|4|,49.83044494202523|78.75542102318316|134.45931881561046|196.34379946521665|256.60824044849363|296.51527336187127|331.77410152816174|,9.46607616520397|2.3001695202245847|2.842170943040401e-14|18.131714827911548|11.23796491114802|11.558535310458568|4.222601955490938|,0|569|429|347|111|49|4|,0|0|0|0|0|0|0|,0|0|18|45|13|8|0|,0|569|411|302|98|41|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|545|545|157|70|8|,0|0|0|0|0|0|0|,719|8|545|545|157|70|8|,33|0|80|110|21|5|1|,688|6|465|435|136|65|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
170,0|1|2|3|4|5|6|,651|425|278|116|81|45|65|,49.96704659008726|134.45931881561046|181.34298546680148|218.25988232814925|247.32879632779216|270.2180918255229|300.16429810104364|,10.284749061625604|2.842170943040401e-14|0.0|1.1368683772161603e-13|2.842170943040401e-14|1.1368683772161603e-13|14.317638122000353|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,645|6|425|394|126|59|6|,49.71266289687647|77.31329361024605|134.45931881561046|192.21191956811205|255.50354471983874|296.7901090282061|333.3438239839467|,9.984969802816703|2.0542242662877874|2.842170943040401e-14|16.825979636034184|10.967575862144031|10.010143358907833|4.755254421644521|,0|651|425|394|126|59|6|,0|0|0|0|0|0|0|,0|65|33|43|18|13|3|,0|586|392|351|108|46|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|553|575|159|73|5|,0|0|0|0|0|0|0|,835|6|553|575|159|73|5|,34|0|60|107|24|18|0|,802|6|493|468|135|55|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
171,0|1|2|3|4|5|6|,761|430|255|172|70|47|51|,49.992050541427915|134.4593188156105|181.3429854668015|218.25988232814933|247.32879632779213|270.2180918255229|300.9197317713687|,10.34793605307359|0.0|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|1.1368683772161603e-13|14.67135850899458|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,755|6|430|427|117|48|3|,49.765532041400085|78.49562846159746|134.4593188156105|196.2134919308573|256.52364152773515|298.4977585195592|339.6713038003206|,10.067923281822926|2.7424122796289754|0.0|18.106379840046152|11.221334616990548|11.307332493067456|4.2422910220083|,0|761|430|427|117|48|3|,0|0|0|0|0|0|0|,0|0|19|51|15|4|1|,0|761|411|376|102|44|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|722|578|191|75|4|,0|0|0|0|0|0|0|,820|5|722|578|191|75|4|,13|0|68|126|38|15|0|,808|4|654|452|153|60|4|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
172,0|1|2|3|4|5|6|,762|578|270|145|91|46|58|,50.35727975850528|134.45931881561046|181.3429854668015|218.2598823281494|247.32879632779213|270.2180918255229|300.116321107325|,9.691934308430758|2.842170943040401e-14|2.842170943040401e-14|2.842170943040401e-14|5.684341886080802e-14|1.1368683772161603e-13|15.387966419279355|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,758|4|578|415|137|54|4|,50.213087076886005|77.68179292535743|134.45931881561046|194.2416602737785|255.01425321024183|297.3772639837054|337.0935922761883|,9.51145735529567|0.3576569443653052|2.842170943040401e-14|17.601228244673518|10.809645975954297|11.86915000848502|7.937928916093031|,0|762|578|415|137|54|4|,0|0|0|0|0|0|0|,0|75|113|76|29|27|2|,0|687|465|339|108|27|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|654|638|172|57|5|,0|0|0|0|0|0|0|,688|8|654|638|172|57|5|,63|0|140|261|41|11|2|,630|3|514|377|131|46|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
173,0|1|2|3|4|5|6|,601|466|228|108|71|50|43|,49.862936779521625|134.4593188156105|181.34298546680157|218.25988232814925|247.3287963277921|270.21809182552283|298.2133772801532|,9.844771935071474|0.0|8.526512829121202e-14|1.1368683772161603e-13|8.526512829121202e-14|5.684341886080802e-14|13.615373004666878|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,599|2|466|336|121|40|3|,49.77666215699927|75.7021862249656|134.4593188156105|193.20913088652046|256.7871828971023|295.3904981078644|335.8517662440039|,9.74712388294291|0.005921648941637159|0.0|17.241109577970995|11.270968397710982|8.871108287118936|9.214428803231346|,0|601|466|336|121|40|3|,0|0|0|0|0|0|0|,0|28|19|46|15|2|1|,0|573|447|290|106|38|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|549|586|139|74|2|,0|0|0|0|0|0|0|,664|3|549|586|139|74|2|,0|0|60|153|20|11|0|,658|9|489|433|119|63|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
174,0|1|2|3|4|5|6|,625|437|265|122|61|45|61|,50.05906190432842|134.45931881561046|181.3429854668015|218.25988232814925|247.3287963277922|270.2180918255229|298.03607027649264|,10.247113646993702|2.842170943040401e-14|2.842170943040401e-14|1.1368683772161603e-13|0.0|1.1368683772161603e-13|11.946296498742726|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,617|8|437|387|106|59|2|,49.700488254813855|77.71405462313889|134.45931881561046|192.9808702654693|257.0459500768287|296.790109028206|334.7919271009448|,9.811093245236652|2.1925372311540943|2.842170943040401e-14|17.15209113226736|11.313519636972536|10.010143358907833|0.0|,0|625|437|387|106|59|2|,0|0|0|0|0|0|0|,0|27|17|50|17|7|0|,0|598|420|337|89|52|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|573|590|140|83|2|,0|0|0|0|0|0|0|,886|7|573|590|140|83|2|,0|0|78|141|11|19|0|,887|6|495|449|129|64|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
175,0|1|2|3|4|5|6|,839|437|254|150|79|38|57|,49.885800838158744|134.45931881561046|181.34298546680154|218.25988232814936|247.32879632779205|270.2180918255229|299.8906198350808|,10.16153118455803|2.842170943040401e-14|5.684341886080802e-14|0.0|1.4210854715202004e-13|1.1368683772161603e-13|12.743236735640286|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,834|5|437|404|117|55|2|,49.71669974727547|78.09186279748965|134.45931881561046|195.04975410344056|254.76292648944818|298.642568850762|334.2120219038451|,9.952361204343052|2.1609760332150385|2.842170943040401e-14|17.836363351390045|10.718941681821628|11.09225778907846|4.875840751366667|,0|839|437|404|117|55|2|,0|0|0|0|0|0|0|,0|46|16|81|23|19|0|,0|793|421|323|94|36|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|760|574|164|61|2|,0|0|0|0|0|0|0|,676|6|760|574|164|61|2|,16|0|199|177|45|24|1|,663|3|561|397|119|37|1|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
176,0|1|2|3|4|5|6|,635|504|238|120|71|35|34|,50.06089017672566|134.4593188156105|181.34298546680157|218.25988232814927|247.3287963277921|270.21809182552283|301.98631920740297|,10.232305223831078|0.0|8.526512829121202e-14|8.526512829121202e-14|8.526512829121202e-14|5.684341886080802e-14|12.374571183467287|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,632|3|504|358|106|34|0|,49.9031877833647|83.28352771143271|134.4593188156105|193.71736430300749|254.8865825770428|301.98631920740297|nan|,9.992111541249553|4.3690792684929285|0.0|17.42694510341729|10.764398254357785|12.374571183467287|nan|,0|635|504|358|106|34|0|,0|0|0|0|0|0|0|,0|13|23|6|9|3|0|,0|622|481|352|97|31|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|600|647|167|53|3|,0|0|0|0|0|0|0|,437|4|600|647|167|53|3|,11|0|60|169|28|5|0|,430|0|540|478|139|48|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
177,0|1|2|3|4|5|6|,397|471|298|134|82|42|48|,49.90774303730182|134.4593188156105|181.3429854668015|218.25988232814936|247.32879632779213|270.21809182552283|301.02480508801176|,9.749881983921025|0.0|2.842170943040401e-14|0.0|5.684341886080802e-14|5.684341886080802e-14|14.12551996963351|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,397|0|471|432|124|45|3|,49.90774303730182|nan|134.4593188156105|192.7940599562011|255.08162222218473|299.13738001704724|329.3361811524784|,9.749881983921025|nan|0.0|17.076622292332818|10.83283958574322|12.483363368790776|0.0|,0|397|471|432|124|45|3|,0|0|0|0|0|0|0|,0|14|43|102|24|9|1|,0|383|428|330|100|36|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|363|606|146|64|4|,0|0|0|0|0|0|0|,793|3|363|606|146|64|4|,0|0|5|222|35|16|1|,794|2|358|384|111|48|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
178,0|1|2|3|4|5|6|,729|320|233|120|62|46|46|,49.83827539588134|134.4593188156105|181.34298546680154|218.25988232814927|247.32879632779222|270.2180918255229|301.4352317000788|,9.819456301208971|0.0|5.684341886080802e-14|8.526512829121202e-14|2.842170943040401e-14|1.1368683772161603e-13|14.235972024709229|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,727|2|320|353|108|43|3|,49.76798261839373|75.3897000126249|134.4593188156105|193.89263879077245|257.07794070645514|299.2348982057967|332.97334511812267|,9.740940757196814|0.10909888196215434|0.0|17.487151250413888|11.318358114905191|11.920774360367062|2.571863304394423|,0|729|320|353|108|43|3|,0|0|0|0|0|0|0|,0|49|13|26|4|12|1|,0|680|307|327|104|31|2|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|638|488|157|64|3|,0|0|0|0|0|0|0|,529|1|638|488|157|64|3|,0|0|105|101|26|13|0|,529|1|533|387|131|51|3|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
