Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,667,51.02900565596872,10.1373556322452,662,50.821411302979186,9.877571891991108,0,0,0,0,0,0,0,0,13,712,0,0
1,100.0,458,134.4593188156105,0.0,5,78.51449799178101,5.479839335695734,667,0,25,642,0,0,0,0,0,1,0,0
2,150.0,221,181.34298546680157,8.526512829121202e-14,458,134.4593188156105,0.0,458,0,20,438,0,0,614,0,58,556,0,0
3,200.0,135,218.2598823281494,2.842170943040401e-14,356,195.34237051253737,17.91175793150839,356,0,27,329,0,0,591,0,145,446,0,0
4,250.0,94,247.32879632779208,1.1368683772161603e-13,144,255.27646837561528,10.897298887427471,144,0,25,119,0,0,176,0,29,147,0,0
5,300.0,50,270.21809182552283,5.684341886080802e-14,43,295.1516094468146,9.125760494139195,43,0,6,37,0,0,71,0,19,52,0,0
6,350.0,45,296.7921625436988,11.737730968688119,2,332.0640541267116,2.7278729742332075,2,0,0,2,0,0,2,0,0,2,0,0
Totals,7,1670,NA,NA,1670,NA,NA,1670,0,103,1567,0,0,1454,0,264,1916,0,0
