Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4106,58,139.73338090030256,80.5175735153573,25,33,0,4,6,0,51,31,51,0,0,0,0,57,0,57,0,0,0,0,54,0,54,20,34,19,0,0,16,19,16,279,0.856166128758281,0.870279146141
2,5031,39,127.0000314419995,76.9902984969974,20,19,0,2,1,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,33,0,33,10,32,15,2,0,5,15,5,255,0.8432891894430354,0.886446886447
3,2886,37,144.7997606093083,70.96793079459228,20,17,0,3,2,0,80,47,80,0,0,0,0,27,0,27,0,0,0,0,73,0,73,7,39,16,1,0,9,16,9,258,0.8431249782601133,0.891891891892
4,2935,56,94.81306268588222,59.39435935534137,28,28,0,1,0,0,0,0,0,0,0,0,0,58,0,58,0,0,0,0,37,0,37,15,36,14,0,0,7,14,7,263,0.8366056243926143,0.864795918367
5,107,23,182.68006435162005,55.447439542183105,10,13,0,1,5,0,33,19,33,0,0,0,11,9,0,9,0,0,0,19,29,0,29,5,15,12,1,0,10,12,10,259,0.8654244306418222,0.888198757764
6,134,59,112.26010504594193,71.11261028842213,30,29,0,2,2,0,0,0,0,0,0,0,4,53,0,53,0,0,0,6,31,0,31,11,29,21,0,0,9,21,9,275,0.8288532304619636,0.875706214689
7,2816,87,100.88203750428264,82.2010297749333,43,44,0,6,6,0,29,18,29,0,0,0,0,73,0,73,0,0,0,0,55,0,55,8,40,11,0,0,16,11,16,280,0.8404236579028496,0.902025177887
8,3910,41,136.2624869109802,72.0458037783737,21,20,0,2,1,0,43,25,43,0,0,0,0,38,0,38,0,0,0,0,56,0,56,13,34,16,0,0,11,16,11,276,0.8523412934477776,0.854819976771
9,1670,84,93.5557486742916,73.5499606023858,40,44,0,3,5,0,109,64,109,0,0,0,0,75,0,75,0,0,0,0,71,0,71,8,23,14,0,0,12,14,12,274,0.8254845589029264,0.90589569161
10,4452,122,79.94955243648948,64.61135934200856,65,57,0,8,2,0,213,125,213,0,0,0,0,113,0,113,0,0,0,0,117,0,117,10,25,16,0,0,8,16,8,268,0.8332709461102364,0.867291178767
11,239,59,96.9020741415126,76.56153150994346,24,35,0,4,2,0,123,73,123,0,0,0,0,57,0,57,0,0,0,0,79,0,79,13,25,13,0,0,8,13,8,261,0.8446122488064459,0.908797417272
12,267,21,177.9738807420793,55.33269051499942,11,10,0,4,0,0,36,21,36,0,0,0,0,11,0,11,0,0,0,0,47,0,47,8,31,11,1,0,9,11,9,250,0.8560630601446929,0.848072562358
13,178,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0
14,200,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.0,0.0
15,65,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0
16,195,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0.0
17,100,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0
18,23,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0
19,530,51,145.62033689313037,84.98350935157045,25,26,0,4,6,0,100,59,100,0,0,0,0,39,0,39,0,0,0,0,84,0,84,11,40,18,1,0,13,18,13,277,0.8602552131963898,0.888888888889
20,476,72,108.09494564268843,65.19821538286605,40,32,0,1,1,0,37,22,37,0,0,0,0,52,0,52,0,0,0,0,38,0,38,6,23,23,1,0,12,23,12,287,0.8593061067019396,0.869047619048
21,208,27,202.5531087660303,61.07724147351054,13,14,0,3,4,0,105,61,105,0,0,0,0,21,0,21,0,0,0,2,90,0,90,15,45,9,0,0,18,9,18,276,0.8606375334770399,0.873015873016
22,64,25,97.59868512517205,72.5052573353605,16,9,0,1,1,0,0,0,0,0,0,0,0,27,0,27,0,0,0,6,12,0,12,8,12,6,0,0,3,6,3,203,0.8034285714285716,0.859047619048
23,160,68,105.96907206885248,72.76752286534634,28,40,0,2,4,0,69,40,69,0,0,0,2,65,0,65,0,0,0,0,65,0,65,13,33,17,1,0,10,17,10,280,0.8412166337123086,0.862044817927
24,299,57,74.07735062119411,56.726111115400606,28,29,0,1,1,0,31,18,31,0,0,0,0,59,0,59,0,0,0,0,42,0,42,10,24,5,0,0,6,5,6,237,0.806827009043075,0.868838763576
25,73,25,184.2801290565237,73.70957841456898,7,18,0,3,4,0,53,31,53,0,0,0,7,13,0,13,0,0,0,21,29,0,29,5,6,12,0,0,10,12,10,254,0.8520000000000002,0.893333333333
26,154,6,157.0857809839292,50.59430749868793,3,3,0,0,1,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,28,0,28,13,28,5,0,0,1,5,1,152,0.8035714285714283,0.873015873016
27,177,64,97.53632725900697,70.53973202715937,29,35,0,3,2,0,60,35,60,0,0,0,0,64,0,64,0,0,0,18,52,0,52,12,26,18,0,0,6,18,6,278,0.8434593563988095,0.854166666667
