Age class,Body Size Mean (mm),Body Size Std (mm),Distribution,Sex Ratio,Age Mortality Out %,Age Mortality Out StDev,Age Mortality Back %,Age Mortality Back StDev,Size Mortality Out %,Size Mortality Out StDev,Size Mortality Back %,Size Mortaltiy Back StDev,Migration,Straying,Maturation,Fecundity_mu,Fecundity_sigma,Capture Out Probability,Capture Back Probability
0,50,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,0~0~0,0,0,N,N
1,100,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,0~0~0,75,50,N,N
2,125,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,0~0~0,100,50,N,N
3,150,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,.45~.75~0,200,50,N,N
4,175,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,1~1~0,200,50,N,N
5,200,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,1~1~0,300,50,N,N
6,250,10,1,50~50~0,N,0,N,0,N,0,N,0,0,0,1~1~0,350,50,N,N
