Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
18,0|1|2|3|4|5|6|,5375|0|0|0|0|0|127|,49.9952318818426|nan|nan|nan|nan|nan|354.9961768912163|,9.83072030197335|nan|nan|nan|nan|nan|0.0028796740466027603|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,5347|28|0|0|0|0|127|,49.847849812909764|78.13994340269596|nan|nan|nan|nan|354.9961768912163|,9.64065079309301|2.6669526681289244|nan|nan|nan|nan|0.0028796740466027603|,0|0|0|5375|0|0|127|,0|0|0|0|0|0|0|,0|0|0|5375|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,6524|40|0|0|0|0|127|,0|0|0|0|0|0|0|,6517|47|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
19,0|1|2|3|4|5|6|,6564|0|0|0|0|0|127|,50.02748411303931|nan|nan|nan|nan|nan|354.9981940912832|,10.088894402514383|nan|nan|nan|nan|nan|0.0013602617024063574|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6517|47|0|0|0|0|127|,49.81831488534196|79.03080021737148|nan|nan|nan|nan|354.9981940912832|,9.815650772987732|2.9440065013130376|nan|nan|nan|nan|0.0013602617024063574|,0|0|0|6564|0|0|127|,0|0|0|0|0|0|0|,0|0|0|6564|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,5733|36|0|0|0|0|127|,0|0|0|0|0|0|0|,5729|40|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
20,0|1|2|3|4|5|6|,5769|0|0|0|0|0|127|,50.26193899791575|nan|nan|nan|nan|nan|354.99914694912485|,9.896779184323902|nan|nan|nan|nan|nan|0.0006425421311714566|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,5729|40|0|0|0|0|127|,50.0689023870361|77.90960759115359|nan|nan|nan|nan|354.99914694912485|,9.65369849312226|2.9782651556224358|nan|nan|nan|nan|0.0006425421311714566|,0|0|0|5769|0|0|127|,0|0|0|0|0|0|0|,0|0|0|5769|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|127|,0|0|0|0|0|0|0|,5616|38|0|0|0|0|127|,0|0|0|0|0|0|34|,5622|32|0|0|0|0|93|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
21,0|1|2|3|4|5|6|,5654|0|0|0|0|0|93|,49.78857449711466|nan|nan|nan|nan|nan|354.9995947407715|,10.026251219782354|nan|nan|nan|nan|nan|0.0003030431779761836|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,5622|32|0|0|0|0|93|,49.62474508096445|78.5713550470034|nan|nan|nan|nan|354.9995947407715|,9.812421964487761|3.555805390637726|nan|nan|nan|nan|0.0003030431779761836|,0|0|0|5654|0|0|93|,0|0|0|0|0|0|0|,0|0|0|5654|0|0|0|,0|0|0|0|0|0|93|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|93|,0|0|0|0|0|0|0|,4989|27|0|0|0|0|93|,0|0|0|0|0|0|0|,4987|29|0|0|0|0|93|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
22,0|1|2|3|4|5|6|,5016|0|0|0|0|0|93|,50.03235313208905|nan|nan|nan|nan|nan|354.9998085690952|,9.938044127406805|nan|nan|nan|nan|nan|0.00014314746130777623|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4987|29|0|0|0|0|93|,49.8669530275421|78.4754676622832|nan|nan|nan|nan|354.9998085690952|,9.725081684093912|2.270754132264402|nan|nan|nan|nan|0.00014314746130777623|,0|0|0|5016|0|0|93|,0|0|0|0|0|0|0|,0|0|0|5015|0|0|0|,0|0|0|1|0|0|93|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|1|0|93|,0|0|0|0|0|0|0|,6410|41|0|0|1|0|93|,0|0|0|0|0|0|0|,6407|44|0|0|1|0|93|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
23,0|1|2|3|4|5|6|,6451|1|0|0|0|0|93|,50.276417556243416|248.951279975208|nan|nan|nan|nan|354.99990957444345|,10.009159195152476|0.0|nan|nan|nan|nan|6.761807283431283e-05|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6407|44|0|0|1|0|93|,50.08619688144267|77.97514172552593|nan|nan|248.951279975208|nan|354.99990957444345|,9.773100894353757|2.770701668063224|nan|nan|0.0|nan|6.761807283431283e-05|,0|0|0|6451|0|1|93|,0|0|0|0|0|0|0|,0|0|0|6451|0|0|0|,0|0|0|0|0|1|93|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|1|93|,0|0|0|0|0|0|0|,4860|25|0|0|0|1|93|,0|0|0|0|0|0|0|,4856|29|0|0|0|1|93|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
24,0|1|2|3|4|5|6|,4885|0|1|0|0|0|93|,49.746970460456204|nan|304.906131699292|nan|nan|nan|354.9999572859916|,9.980229919106796|nan|0.0|nan|nan|nan|3.1940515968414644e-05|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4856|29|0|0|0|1|93|,49.57379527171489|78.74485723727523|nan|nan|nan|304.906131699292|354.9999572859916|,9.751123545116686|3.2663390638818037|nan|nan|nan|0.0|3.1940515968414644e-05|,0|0|0|4885|0|1|93|,0|0|0|0|0|0|0|,0|0|0|4885|0|0|0|,0|0|0|0|0|1|93|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|94|,0|0|0|0|0|0|0|,5587|27|0|0|0|0|94|,0|0|0|0|0|0|0|,5579|35|0|0|0|0|94|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
25,0|1|2|3|4|5|6|,5614|0|0|1|0|0|93|,50.021825554110166|nan|nan|331.33733211733215|nan|nan|354.9999798233311|,10.031613411131472|nan|nan|0.0|nan|nan|1.508763142348761e-05|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,5579|35|0|0|0|0|94|,49.84869549985816|77.61875620188022|nan|nan|nan|nan|354.7482495285865|,9.818550062450075|2.902066715307178|nan|nan|nan|nan|2.4275990485258006|,0|0|0|5614|0|0|94|,0|0|0|0|0|0|0|,0|0|0|5612|0|0|0|,0|0|0|2|0|0|94|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|2|0|94|,0|0|0|0|0|0|0|,4451|34|0|0|2|0|94|,0|0|0|0|0|0|0|,4460|25|0|0|2|0|94|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
26,0|1|2|3|4|5|6|,4485|2|0|0|1|0|93|,50.04935032001178|248.951279975208|nan|nan|343.8225471436087|nan|354.99999046921647|,9.887217434544125|0.0|nan|nan|0.0|nan|7.126892437804044e-06|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4460|25|0|0|2|0|94|,49.89283974082887|77.97083764624355|nan|nan|248.951279975208|nan|354.8810814976675|,9.689337337470526|2.205767349388542|nan|nan|0.0|nan|1.1467165939894963|,0|0|0|4485|0|2|94|,0|0|0|0|0|0|0|,0|0|0|4485|0|0|0|,0|0|0|0|0|2|94|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|2|94|,0|0|0|0|0|0|0|,6320|34|0|0|0|2|94|,0|0|0|0|0|0|0|,6319|35|0|0|0|2|94|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
27,0|1|2|3|4|5|6|,6354|0|2|0|0|1|93|,50.11732056614723|nan|304.906131699292|nan|nan|349.7201451258012|354.99999549797667|,10.02753490239533|nan|0.0|nan|nan|0.0|3.3665056191613776e-06|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6319|35|0|0|0|2|94|,49.9641950781248|77.76303367510845|nan|nan|nan|304.906131699292|354.94382687699607|,9.839942644817476|2.2165860679555394|nan|nan|nan|0.0|0.5416705644737411|,0|0|0|6354|0|2|94|,0|0|0|0|0|0|0|,0|0|0|6354|0|0|0|,0|0|0|0|0|2|94|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|96|,0|0|0|0|0|0|0|,3840|21|0|0|0|0|96|,0|0|0|0|0|0|0|,3840|21|0|0|0|0|96|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
