Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
25,0|1|2|3|4|5|6|,472|252|72|3|0|17|19|,50.25782782192617|113.44465676002007|164.79572781619694|205.23032539160803|nan|262.13947730802647|306.0136078310044|,10.002073865218545|0.0|0.0|2.842170943040401e-14|nan|0.0|20.76882869152661|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,471|253|72|3|17|14|5|,50.19404648194615|113.31364562244097|164.79572781619694|205.23032539160803|262.13947730802647|294.7317530006912|337.60280135588135|,9.91633802863219|2.0797373340835765|0.0|2.842170943040401e-14|0.0|9.120621508227675|7.205985426858441|,0|472|252|75|17|14|5|,0|0|0|0|0|0|0|,0|155|57|0|0|0|0|,0|317|195|75|17|14|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|317|195|72|3|31|5|,0|0|0|0|0|0|0|,102|317|195|72|3|31|5|,0|9|0|0|0|8|0|,100|310|195|72|3|23|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
26,0|1|2|3|4|5|6|,102|308|195|72|3|0|28|,50.49831930502222|113.44465676002007|164.79572781619694|205.23032539160798|237.06912928523727|nan|302.783234634929|,10.13347681520505|0.0|0.0|2.842170943040401e-14|0.0|nan|22.150719224386023|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,100|310|195|72|3|23|5|,49.97831567392317|113.20629446389076|164.79572781619694|205.23032539160798|237.06912928523727|294.4097667564294|341.301186876027|,9.53668476760683|2.958115559993376|0.0|2.842170943040401e-14|0.0|14.059713760231416|5.67410016726904|,0|102|308|267|3|23|5|,0|0|0|0|0|0|0|,0|0|137|140|0|0|0|,0|102|171|127|3|23|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|102|171|91|39|21|7|,0|0|0|0|0|0|0|,384|104|171|91|39|21|7|,0|0|0|0|0|0|0|,380|108|171|91|39|21|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
27,0|1|2|3|4|5|6|,386|102|171|91|36|3|28|,49.97801037769244|113.44465676002011|164.79572781619694|205.23032539160795|237.06912928523727|262.13947730802647|313.8837418421803|,10.374848196615195|4.263256414560601e-14|0.0|5.684341886080802e-14|0.0|0.0|17.441805972540347|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,380|108|171|91|39|21|7|,49.49176090015857|111.62960975232475|164.79572781619694|205.23032539160795|238.99761759468254|305.42364347699544|339.264036937735|,9.683698534049203|7.565953640538197|0.0|5.684341886080802e-14|6.680479467523822|9.703770144049983|8.688943844108094|,0|386|102|262|39|21|7|,0|0|0|0|0|0|0|,0|0|0|207|0|0|0|,0|386|102|55|39|21|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|386|102|42|49|18|13|,0|0|0|0|0|0|0|,368|388|102|42|49|18|13|,0|0|0|0|0|0|4|,366|390|102|42|49|18|9|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
28,0|1|2|3|4|5|6|,370|386|102|42|13|36|27|,50.10392595997125|113.44465676002008|164.7957278161969|205.23032539160803|237.0691292852372|262.13947730802647|315.86544795704964|,10.95725100791853|1.4210854715202004e-14|5.684341886080802e-14|2.842170943040401e-14|5.684341886080802e-14|0.0|17.02153468857084|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,366|390|102|42|49|18|9|,49.79452392490994|113.0853701488207|164.7957278161969|205.23032539160803|255.48816048565385|306.6397684466331|334.3168069778824|,10.606253368215095|3.532871998189305|5.684341886080802e-14|2.842170943040401e-14|11.068460239578823|11.618588936020059|9.409343078065536|,0|370|386|144|49|18|9|,0|0|0|0|0|0|0|,0|24|289|38|0|0|0|,0|346|97|106|49|18|9|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|346|97|73|46|51|12|,0|0|0|0|0|0|0|,351|349|97|73|46|51|12|,0|0|0|0|2|34|0|,352|348|97|73|44|17|12|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
29,0|1|2|3|4|5|6|,354|346|97|73|32|12|29|,50.643647742205395|113.44465676002008|164.79572781619692|205.23032539160798|237.06912928523727|262.13947730802647|309.8720942176054|,9.483287882230869|1.4210854715202004e-14|2.842170943040401e-14|2.842170943040401e-14|0.0|0.0|25.435971658525286|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,352|348|97|73|44|17|12|,50.48624889899826|113.24293944615022|164.79572781619692|205.23032539160798|243.90649692781616|291.59969179616587|335.7579976479781|,9.276755477901304|2.653266676520952|2.842170943040401e-14|2.842170943040401e-14|11.165374605423033|15.787523072942488|8.2085282877095|,0|354|346|170|44|17|12|,0|0|0|0|0|0|0|,0|20|245|75|3|0|1|,0|334|101|95|41|17|11|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|334|101|55|70|24|15|,0|0|0|0|0|0|0|,410|338|101|55|70|24|15|,0|0|0|0|14|15|9|,412|336|101|55|56|9|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
30,0|1|2|3|4|5|6|,414|334|101|55|29|27|15|,49.8984205012198|113.44465676002011|164.79572781619692|205.2303253916081|237.06912928523724|262.13947730802647|309.31316283395114|,9.870890221970622|4.263256414560601e-14|2.842170943040401e-14|8.526512829121202e-14|2.842170943040401e-14|0.0|22.346238720968042|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,412|336|101|55|56|9|6|,49.76338270957127|113.23198740776293|164.79572781619692|205.2303253916081|249.15661851051067|292.24302395422865|334.918371153535|,9.700434491957266|2.755943670814002|2.842170943040401e-14|8.526512829121202e-14|12.527177089361283|7.327593075409513|8.668008818017844|,0|414|334|156|56|9|6|,0|0|0|0|0|0|0|,0|39|219|39|6|0|0|,0|375|115|117|50|9|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|375|115|78|62|36|6|,0|0|0|0|0|0|0|,324|377|115|78|62|36|6|,0|0|0|0|20|4|0|,323|378|115|78|42|32|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
31,0|1|2|3|4|5|6|,326|375|115|78|24|18|38|,49.3168152630422|113.44465676002008|164.7957278161969|205.23032539160803|237.06912928523727|262.13947730802647|295.08053615606923|,10.441807029972484|1.4210854715202004e-14|5.684341886080802e-14|2.842170943040401e-14|0.0|0.0|21.25993034714853|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,323|378|115|78|42|32|6|,49.06743072119459|113.1488040682895|164.7957278161969|205.23032539160803|247.81356415214694|286.8104942008306|339.18742658400885|,10.162921892012186|3.3078317716587544|5.684341886080802e-14|2.842170943040401e-14|12.406604725401387|9.738462186002485|6.825319143844931|,0|326|375|193|42|32|6|,0|0|0|0|0|0|0|,0|30|297|78|0|0|0|,0|296|78|115|42|32|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|296|78|66|73|50|6|,0|0|0|0|0|0|0|,394|298|78|66|73|50|6|,0|0|0|0|39|35|0|,393|299|78|66|34|15|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
32,0|1|2|3|4|5|6|,396|296|78|66|23|11|21|,50.44324160308824|113.44465676002007|164.79572781619697|205.230325391608|237.06912928523724|262.13947730802647|306.91772845913977|,10.079351921385708|0.0|2.842170943040401e-14|0.0|2.842170943040401e-14|0.0|24.325577946272247|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,393|299|78|66|34|15|6|,50.240183612105575|113.07943115796452|164.79572781619697|205.230325391608|245.18012423378673|292.6652420973405|342.54894436363776|,9.843805791234882|3.632469182653151|2.842170943040401e-14|0.0|11.72847931813094|10.291110928970632|5.37435787080671|,0|396|296|144|34|15|6|,0|0|0|0|0|0|0|,0|0|93|18|0|0|0|,0|396|203|126|34|15|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|396|203|69|80|25|7|,0|0|0|0|0|0|0|,181|399|203|69|80|25|7|,0|0|0|0|20|0|0|,183|397|203|69|60|25|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
33,0|1|2|3|4|5|6|,184|396|203|69|43|17|32|,49.396212917284956|113.44465676002007|164.7957278161969|205.23032539160803|237.06912928523724|262.13947730802647|305.0190014669077|,9.412391400790774|0.0|5.684341886080802e-14|2.842170943040401e-14|2.842170943040401e-14|0.0|22.83022210287069|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,183|397|203|69|60|25|7|,49.2386073586812|113.35597508088091|164.7957278161969|205.23032539160803|244.17239455836088|294.5016869361304|342.5808390768267|,9.192755681526533|1.7647431328997711|5.684341886080802e-14|2.842170943040401e-14|11.297121534047417|12.071056745576868|7.508660815842131|,0|184|396|272|60|25|7|,0|0|0|0|0|0|0|,0|0|330|250|0|0|0|,0|184|66|22|60|25|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|184|66|17|48|42|7|,0|0|0|0|0|0|0|,339|185|66|17|48|42|7|,0|0|0|0|3|19|0|,339|185|66|17|45|23|7|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
34,0|1|2|3|4|5|6|,340|184|66|17|5|40|30|,49.54734875612502|113.44465676002007|164.79572781619697|205.230325391608|237.06912928523724|262.13947730802647|307.74762594002493|,9.492006980263527|0.0|2.842170943040401e-14|0.0|2.842170943040401e-14|0.0|24.85933052133434|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,339|185|66|17|45|23|7|,49.44376516021643|113.28907584655582|164.79572781619697|205.230325391608|259.3538830832721|296.34269578970276|345.22096786251205|,9.312138425099048|2.1104021883810127|2.842170943040401e-14|0.0|7.878850263831556|15.426496263702623|5.912431273082742|,0|340|184|83|45|23|7|,0|0|0|0|0|0|0|,0|99|39|10|17|19|2|,0|241|145|73|28|4|5|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|241|145|57|19|28|6|,0|0|0|0|0|0|0|,194|241|145|57|19|28|6|,0|17|30|0|0|9|0|,193|225|115|57|19|19|6|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
