Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,1383,50.45603165883466,9.919313746737586,1374,50.27409322298687,9.691759883011509,0,0,0,0,0,0,0,0,28,1008,0,0
1,100.0,1993,134.4593188156105,0.0,9,78.23196619826449,1.7672785744804136,1383,0,60,1323,0,0,0,0,0,5,0,0
2,150.0,389,181.3429854668015,2.842170943040401e-14,1993,134.4593188156105,0.0,1993,0,207,1786,0,0,1270,0,348,922,0,0
3,200.0,219,218.25988232814927,8.526512829121202e-14,608,194.64035456653042,17.72223401852998,608,0,85,523,0,0,2015,0,1315,700,0,0
4,250.0,80,247.3287963277922,0.0,213,261.6211733287225,11.08469215641735,213,0,34,179,0,0,228,0,43,185,0,0
5,300.0,133,270.2180918255228,0.0,39,307.49072014051893,8.780242649318987,39,0,1,38,0,0,141,0,50,91,0,0
6,350.0,39,307.49072014051893,8.780242649318987,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0
Totals,7,4236,NA,NA,4236,NA,NA,4236,0,387,3849,0,0,3654,0,1784,2911,0,0
