Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
41,165,21,137.4046094829422,64.47314418445626,9,12,0,1,0,0,0,0,0,0,0,0,0,29,9,20,0,0,0,0,26,8,18,17,26,12,0,0,4,12,4,258,0.8494223086059822,0.863945578231
42,257,16,180.12563900484392,45.07895157293926,7,9,0,1,2,0,12,9,12,0,0,0,0,18,5,13,0,0,0,0,34,10,24,12,31,10,0,1,5,10,5,254,0.8657924107142857,0.895833333333
43,250,18,95.4111058218802,52.01705652101711,8,10,0,0,0,0,0,0,0,0,0,0,0,23,7,16,0,0,0,0,28,8,20,11,28,8,0,0,1,8,1,217,0.8173868312757202,0.873015873016
44,366,30,102.69975389431569,70.61503051901735,20,10,0,3,1,0,62,45,62,0,0,0,0,31,9,22,0,0,0,0,57,17,40,9,39,8,0,0,4,8,4,268,0.8457142857142859,0.869841269841
45,155,15,171.76957331669493,37.261311890520695,6,9,0,0,0,0,0,0,0,0,0,0,0,17,5,12,0,0,0,0,28,8,20,10,28,9,0,0,6,9,6,259,0.868888888888889,0.892063492063
46,310,9,96.44469568449085,58.31616611570947,2,7,0,0,0,0,0,0,0,0,0,0,0,20,6,14,0,0,0,0,29,9,20,13,29,4,0,0,0,4,0,179,0.8124632569077018,0.915343915344
47,222,31,156.02552994741308,76.67904877327845,16,15,0,3,2,0,64,47,64,0,0,0,0,25,7,18,0,0,0,0,46,14,32,13,28,14,1,0,9,14,9,293,0.8723799613497842,0.903225806452
48,328,18,143.9033563534767,74.26840636423638,9,9,0,3,1,0,70,50,70,0,0,0,0,24,7,17,0,0,0,0,60,18,42,15,39,9,1,0,3,9,3,263,0.8550852439741328,0.867724867725
49,50,11,50.28984365724361,27.355402557652425,5,6,0,0,0,0,0,0,0,0,0,0,4,16,5,11,0,0,0,46,0,0,0,6,0,1,0,0,0,1,0,102,0.7020857929948838,0.878787878788
50,124,16,192.66725222878406,48.42313812595022,8,8,0,2,2,0,31,22,31,0,0,0,0,19,6,13,0,0,0,4,33,10,23,12,24,11,0,2,3,11,3,264,0.8577938988095238,0.892857142857
Totals,45855,1534,NA,NA,774,760,81,84,1485,954,1485,0,0,0,26,1508,114,1394,0,0,0,145,1780,152,1628,547,1210,489,11,19,315,489,315,379,0.891129240495581,0.890730738188
