Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,5167,54,133.9243990639034,65.55550348435608,26,28,0,1,2,0,61,35,61,0,0,0,0,38,0,38,0,0,0,0,65,0,65,10,36,24,1,0,13,24,13,304,0.8653569795545106,0.883597883598
2,4689,66,99.8602975368152,70.66381039647196,38,28,0,4,1,0,66,38,66,0,0,0,0,58,0,58,0,0,0,0,44,0,44,10,13,18,0,1,8,18,8,294,0.8544700249245705,0.878787878788
3,2473,45,127.69837900847797,76.2168736321189,27,18,0,3,4,0,42,24,42,0,0,0,0,38,0,38,0,0,0,0,40,0,40,11,22,21,1,0,5,21,5,277,0.84756025867137,0.903703703704
4,2436,53,120.77989140771531,80.35253204686992,25,28,0,1,5,0,40,23,40,0,0,0,0,44,0,44,0,0,0,0,48,0,48,10,29,13,0,1,12,13,12,269,0.8318839105595961,0.850853548967
5,224,36,64.47929951467714,47.306697644105874,18,18,0,0,1,0,0,0,0,0,0,0,0,52,0,52,0,0,0,0,39,0,39,18,38,4,0,0,1,4,1,187,0.8028365667254556,0.865079365079
6,181,37,134.79815252001754,73.14201158836576,17,20,0,3,4,0,104,59,104,0,0,0,0,41,0,41,0,0,0,20,68,0,68,20,22,20,0,0,6,20,6,270,0.8510556888935267,0.867438867439
7,2069,104,87.08409613429271,70.73697587393814,52,52,0,2,6,0,130,74,130,0,0,0,0,95,0,95,0,0,0,0,87,0,87,12,28,14,0,0,12,14,12,285,0.829089180050719,0.873626373626
8,3650,19,178.53042313340018,46.84289096934807,11,8,0,2,1,0,59,34,59,0,0,0,0,20,0,20,0,0,0,0,52,0,52,14,25,12,0,1,6,12,6,261,0.8555599525128608,0.874686716792
9,4898,53,153.57229985216975,69.00151963830186,29,24,0,6,1,0,127,73,127,0,0,0,0,41,0,41,0,0,0,0,90,0,90,15,35,27,0,2,13,27,13,303,0.8703826137076406,0.88679245283
10,2534,82,113.04871965366387,72.22244339408299,42,40,0,2,3,0,71,41,71,0,0,0,0,68,0,68,0,0,0,0,66,0,66,16,35,29,0,0,12,29,12,310,0.8516472621172203,0.880371660859
11,280,66,115.06761236665328,80.05726094496288,32,34,0,4,3,0,60,34,60,0,0,0,0,57,0,57,0,0,0,0,49,0,49,12,22,20,0,0,12,20,12,293,0.8565252087979363,0.883838383838
12,298,56,109.02409424252652,67.92943707063091,25,31,0,1,3,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,33,0,33,8,32,17,0,0,9,17,9,272,0.8293018100097185,0.889455782313
13,219,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,0.0
14,211,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0
15,179,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0.0,0.0
16,223,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.0,0.0
17,73,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0
18,42,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0.0
19,657,76,109.91220791918039,71.35712085476584,44,32,0,5,1,0,30,17,30,0,0,0,0,74,0,74,0,0,0,0,49,0,49,19,36,19,0,1,14,19,14,292,0.8550364397836698,0.894110275689
20,558,33,140.7650435168197,71.81662101353325,20,13,0,2,3,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,26,0,26,9,24,16,0,0,6,16,6,263,0.8349949713586079,0.868686868687
