Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,5582,61,132.2009982325727,78.65874985232969,32,29,0,3,4,0,13,7,13,0,0,0,0,55,0,55,0,0,0,0,43,0,43,17,36,20,0,0,15,20,15,315,0.865966650030074,0.88212334114
2,4733,82,102.10242119594956,71.67695113001338,39,43,0,1,5,0,34,19,34,0,0,0,0,68,0,68,0,0,0,0,42,0,42,8,24,18,0,0,14,18,14,322,0.8535452253477237,0.876306620209
3,2665,61,110.31089666590763,71.59279546832315,28,33,0,2,3,0,84,47,84,0,0,0,0,59,0,59,0,0,0,0,76,0,76,15,36,21,1,0,6,21,6,308,0.850360246221574,0.879781420765
4,2346,28,200.90995190278704,54.54212516945479,16,12,0,5,1,0,137,77,137,0,0,0,0,22,0,22,0,0,0,0,102,0,102,16,42,11,0,1,16,11,16,292,0.8747570456754132,0.904761904762
5,111,22,64.97435360164909,33.871679816029854,9,13,0,0,0,0,0,0,0,0,0,0,12,28,0,28,0,0,0,41,4,0,4,7,4,4,0,0,0,4,0,177,0.8066706021251473,0.922077922078
6,118,25,171.0429569854941,50.95571479769286,11,14,0,1,5,0,0,0,0,0,0,0,0,23,0,23,0,0,0,34,9,0,9,17,9,19,0,3,3,19,3,278,0.8638095238095239,0.910476190476
7,2405,105,94.19346468396132,69.46374627725739,60,45,0,3,3,0,53,30,53,0,0,0,0,96,0,96,0,0,0,0,61,0,61,13,36,26,0,0,12,26,12,324,0.8614965986394556,0.878004535147
8,3848,33,181.67084227804818,48.57704577076244,17,16,0,2,4,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,24,0,24,9,24,21,0,0,12,21,12,305,0.8773667410031049,0.881673881674
9,3053,73,104.1957689669674,74.09493991643673,38,35,0,4,2,0,157,88,157,0,0,0,0,62,0,62,0,0,0,0,114,0,114,9,45,17,1,0,11,17,11,308,0.8613426980850512,0.91911285062
10,2172,64,159.44952108188326,76.92894633413978,31,33,0,7,5,0,24,13,24,0,0,0,0,45,0,45,0,0,0,0,73,0,73,14,59,20,0,0,28,20,28,319,0.8653622581845238,0.896577380952
11,286,31,185.3929109483899,48.04348550881748,9,22,0,1,3,0,56,31,56,0,0,0,0,27,0,27,0,0,0,0,59,0,59,13,33,21,1,1,8,21,8,288,0.871686239532233,0.883256528418
12,278,37,150.94263683179724,66.71731445679809,18,19,0,0,4,0,0,0,0,0,0,0,0,31,0,31,0,0,0,0,40,0,40,11,39,19,1,1,8,19,8,300,0.8680475842638004,0.916344916345
13,115,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.0,0.0
14,114,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.0,0.0
15,139,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0.0,0.0
16,151,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0.0,0.0
17,2,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,129,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.0,0.0
19,541,68,114.0594090145228,72.6439769038594,28,40,0,0,3,0,0,0,0,0,0,0,0,63,0,63,0,0,0,0,36,0,36,16,35,22,0,1,12,22,12,309,0.8644700527269731,0.908963585434
