Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,687,49.814824665405176,9.831944792110452,683,49.64942685541293,9.618100600578142,0,0,0,0,0,0,0,0,0,701,0,0
1,100.0,480,134.4593188156105,0.0,4,78.0565007215831,2.144921786981866,687,0,0,687,0,0,0,0,0,1,0,0
2,150.0,239,181.34298546680157,8.526512829121202e-14,480,134.4593188156105,0.0,480,0,12,468,0,0,658,0,75,583,0,0
3,200.0,115,218.25988232814925,1.1368683772161603e-13,354,193.33576269577046,17.288996916515774,354,0,45,309,0,0,610,0,108,502,0,0
4,250.0,99,247.32879632779213,5.684341886080802e-14,153,255.40737120934415,10.938442098742604,153,0,20,133,0,0,161,0,1,160,0,0
5,300.0,54,270.2180918255229,1.1368683772161603e-13,54,297.2189749365662,10.534348528873814,54,0,3,51,0,0,85,0,28,57,0,0
6,350.0,63,301.96193584840654,15.21299071778966,9,330.41970131944873,3.064657830468516,9,0,0,9,0,0,11,0,1,10,0,0
Totals,7,1737,NA,NA,1737,NA,NA,1737,0,80,1657,0,0,1525,0,213,2014,0,0
