Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,605,50.15603803816196,9.508723548633537,603,50.067364136643974,9.398768705766008,0,0,0,0,0,0,0,0,23,876,0,0
1,100.0,588,134.4593188156105,0.0,2,76.89121934583444,0.29111612994660163,605,0,31,574,0,0,0,0,0,6,0,0
2,150.0,295,181.3429854668015,2.842170943040401e-14,588,134.4593188156105,0.0,588,0,38,550,0,0,547,0,20,527,0,0
3,200.0,165,218.25988232814927,8.526512829121202e-14,460,194.58491586271975,17.705994975174878,460,0,42,418,0,0,749,0,206,543,0,0
4,250.0,115,247.32879632779213,5.684341886080802e-14,157,253.45204735266276,10.13226031058549,157,0,32,125,0,0,214,0,47,167,0,0
5,300.0,42,270.21809182552283,5.684341886080802e-14,56,296.4408775976002,11.324843795708787,56,0,18,38,0,0,63,0,10,53,0,0
6,350.0,57,297.18907031790917,12.543939644295367,1,339.0878626552117,0.0,1,0,0,1,0,0,3,0,0,3,0,0
Totals,7,1867,NA,NA,1867,NA,NA,1867,0,161,1706,0,0,1576,0,306,2175,0,0
