Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,704,49.650895075689625,10.302492593342269,700,49.49286245456592,10.116706045169272,0,0,0,0,0,0,0,0,0,909,0,0
1,100.0,438,134.4593188156105,0.0,4,77.30660377233902,0.9026635593900819,704,0,0,704,0,0,0,0,0,3,0,0
2,150.0,273,181.3429854668015,2.842170943040401e-14,438,134.4593188156105,0.0,438,0,14,424,0,0,680,0,119,561,0,0
3,200.0,123,218.25988232814925,1.1368683772161603e-13,396,192.809597370705,17.082989798356962,396,0,42,354,0,0,627,0,203,424,0,0
4,250.0,102,247.32879632779208,1.1368683772161603e-13,152,254.8581698467825,10.754096419527043,152,0,12,140,0,0,188,0,44,144,0,0
5,300.0,50,270.21809182552283,5.684341886080802e-14,47,297.305978686926,12.068941195297745,47,0,6,41,0,0,70,0,9,61,0,0
6,350.0,52,300.67825637498294,15.494015883660607,5,332.3776666427183,3.9650292823195743,5,0,0,5,0,0,10,0,2,8,0,0
Totals,7,1742,NA,NA,1742,NA,NA,1742,0,74,1668,0,0,1575,0,377,2110,0,0
