Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,704,49.83456403331834,10.158068930445715,701,49.68817792385277,9.916689419860424,0,0,0,0,0,0,0,0,47,735,0,0
1,100.0,395,134.4593188156105,0.0,3,84.04011827843746,7.77320167545007,704,0,22,682,0,0,0,0,0,5,0,0
2,150.0,240,181.34298546680154,5.684341886080802e-14,395,134.4593188156105,0.0,395,0,32,363,0,0,640,0,100,540,0,0
3,200.0,134,218.25988232814936,0.0,374,194.56989503744492,17.70156263226044,374,0,53,321,0,0,512,0,121,391,0,0
4,250.0,63,247.32879632779222,2.842170943040401e-14,120,258.2012116892142,11.43033298685425,120,0,23,97,0,0,150,0,31,119,0,0
5,300.0,57,270.21809182552283,5.684341886080802e-14,43,300.37441619678503,11.995336376327572,43,0,8,35,0,0,72,0,20,52,0,0
6,350.0,45,301.78284454922624,13.43401304541921,2,332.0640541267116,2.7278729742332075,2,0,0,2,0,0,6,0,0,6,0,0
Totals,7,1638,NA,NA,1638,NA,NA,1638,0,138,1500,0,0,1380,0,319,1848,0,0
