Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,5875,81,113.15768458311646,77.61779134176683,37,44,0,3,4,0,87,53,87,0,0,0,0,60,0,60,0,0,0,0,58,0,58,8,24,19,0,0,19,19,19,323,0.8541925229168029,0.883597883598
2,3314,79,114.92162834638226,73.3057277234658,31,48,0,1,4,0,35,21,35,0,0,0,0,68,0,68,0,0,0,0,39,0,39,14,24,24,0,1,15,24,15,334,0.8677524206285623,0.88908981314
3,3041,57,145.41707337873152,65.28290280056962,30,27,0,4,2,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,33,0,33,19,32,33,0,1,10,33,10,322,0.879186269767987,0.878863826232
4,3204,69,133.38096729716617,75.17257683082639,43,26,0,6,1,0,109,65,109,0,0,0,0,52,0,52,0,0,0,0,97,0,97,17,48,25,1,0,17,25,17,328,0.8682949760454488,0.902691511387
5,202,67,112.941495617233,80.14548755909753,26,41,0,2,4,0,49,29,49,0,0,0,0,74,0,74,0,0,0,0,54,0,54,25,33,16,0,3,12,16,12,307,0.8597630185957207,0.887704335466
6,105,29,149.67271385473754,75.24775720065328,13,16,0,3,4,0,23,14,23,0,0,0,17,20,0,20,0,0,0,25,21,0,21,10,12,17,0,0,6,17,6,288,0.8659475680878773,0.894909688013
7,3507,70,111.12047754806379,71.25203451382349,38,32,0,4,1,0,139,84,139,0,0,0,0,63,0,63,0,0,0,0,98,0,98,12,43,25,1,1,9,25,9,311,0.8608309037900875,0.889795918367
8,4060,26,153.74370886806298,67.19301553592346,10,16,0,2,2,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,36,0,36,12,36,12,0,3,6,12,6,277,0.8687306283460129,0.919413919414
9,3185,61,152.5737365973337,76.44128221773632,34,27,0,7,3,0,192,115,192,0,0,0,0,38,0,38,0,0,0,0,120,0,120,11,42,24,1,2,19,24,19,323,0.8809011914359941,0.878220140515
10,3232,114,114.94959212984803,79.38275135280556,55,59,0,5,6,0,117,70,117,0,0,0,0,91,0,91,0,0,0,0,81,0,81,14,27,36,0,0,16,36,16,335,0.875227176127453,0.911027568922
