Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,462,49.85722885836206,10.057123234683818,460,49.71861832072372,9.85225685111542,0,0,0,0,0,0,0,0,18,805,0,0
1,100.0,588,134.4593188156105,0.0,2,81.73765251518208,4.298926950686337,462,0,6,456,0,0,0,0,0,3,0,0
2,150.0,303,181.3429854668015,2.842170943040401e-14,588,134.4593188156105,0.0,588,0,43,545,0,0,438,0,10,428,0,0
3,200.0,173,218.2598823281493,5.684341886080802e-14,476,194.76026100674514,17.756714064083347,476,0,51,425,0,0,746,0,253,493,0,0
4,250.0,112,247.32879632779216,2.842170943040401e-14,159,254.0948144937879,10.444634379522634,159,0,14,145,0,0,226,0,19,207,0,0
5,300.0,47,270.2180918255229,1.1368683772161603e-13,65,299.0619611814426,12.464390698592815,65,0,13,52,0,0,83,0,14,69,0,0
6,350.0,71,302.2208525596873,15.880281591486044,6,336.442175824004,4.678810793808677,6,0,1,5,0,0,8,0,2,6,0,0
Totals,7,1756,NA,NA,1756,NA,NA,1756,0,128,1628,0,0,1501,0,316,2011,0,0
