Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
34,1006,47,155.01257304528522,79.40793763279964,29,18,0,5,4,0,48,30,48,0,0,0,0,34,0,34,0,0,0,0,60,0,60,14,40,19,0,0,16,19,16,374,0.8952014486192846,0.925025329281
35,496,59,130.6905133509508,73.48944732160537,34,25,0,2,3,0,39,29,39,0,0,0,0,54,11,43,0,0,0,0,47,9,38,17,34,25,3,0,9,25,9,392,0.8987428352553314,0.917675544794
36,625,37,158.66180555629907,59.46828659060375,16,21,0,2,3,0,41,30,41,0,0,0,0,32,6,26,0,0,0,0,39,8,31,16,28,19,1,0,12,19,12,380,0.9082055028000977,0.916344916345
37,176,15,197.5802708865302,37.80752636728931,7,8,0,0,1,0,0,0,0,0,0,0,0,17,5,12,0,0,0,0,19,6,13,10,19,6,0,1,8,6,8,288,0.8829629629629633,0.920634920635
38,165,28,144.5722816559937,76.53995134511189,14,14,0,2,1,0,68,48,68,0,0,0,0,35,10,25,0,0,0,6,39,12,27,19,19,11,0,0,8,11,8,345,0.8962281341107875,0.926870748299
39,338,15,85.08737152356527,43.946396781971686,8,7,0,0,0,0,0,0,0,0,0,0,0,27,8,19,0,0,0,0,20,6,14,12,20,5,0,0,0,5,0,209,0.8180952380952381,0.926984126984
40,214,11,76.03990062023871,59.933900460938155,8,3,0,1,0,0,0,0,0,0,0,0,0,15,4,11,0,0,0,11,27,8,19,6,27,1,0,0,1,1,1,129,0.7107438016528923,0.891774891775
41,351,22,189.76220348487539,48.47653210075582,15,7,0,3,2,0,47,34,47,0,0,0,0,16,5,11,0,0,0,2,35,10,25,13,22,10,0,0,12,10,12,337,0.899793388429752,0.906926406926
42,225,27,98.07614062633876,71.28092154746552,16,11,0,0,2,0,0,0,0,0,0,0,0,30,9,21,0,0,0,0,32,10,22,11,31,6,0,0,4,6,4,313,0.8775556861976617,0.936507936508
43,136,21,201.6024668877894,55.78499207829356,10,11,0,2,3,0,41,30,41,0,0,0,0,23,7,16,0,0,0,10,27,8,19,13,16,11,1,2,7,11,7,342,0.9005506964690639,0.934240362812
44,391,19,188.45402196904078,45.56254182317825,11,8,0,2,2,0,3,2,3,0,0,0,0,18,5,13,0,0,0,0,35,10,25,13,34,11,0,0,8,11,8,330,0.8995515103548344,0.927318295739
45,164,19,168.4368539712391,36.317754445350275,9,10,0,1,0,0,24,17,24,0,0,0,0,24,7,17,0,0,0,0,33,10,23,16,26,13,1,0,5,13,5,306,0.8937475267115156,0.944862155388
46,192,34,148.13881315358262,72.6924864360228,13,21,0,1,3,0,46,34,46,0,0,0,0,30,9,21,0,0,0,24,27,8,19,14,15,15,1,0,9,15,9,352,0.8905503377821717,0.901960784314
47,237,24,176.2091668633204,40.754369164621544,13,11,0,0,3,0,0,0,0,0,0,0,0,20,6,14,0,0,0,0,24,7,17,11,24,16,0,0,8,16,8,350,0.9017030423280425,0.930555555556
48,187,29,172.82641993160482,70.41789435989885,17,12,0,4,1,0,56,41,56,0,0,0,0,23,7,16,0,0,0,0,44,13,31,13,29,11,1,1,12,11,12,362,0.9018175641243421,0.924466338259
49,438,29,147.3625937964006,65.4534819501537,14,15,0,1,1,0,25,18,25,0,0,0,0,27,8,19,0,0,0,0,39,12,27,13,32,16,0,1,5,16,5,352,0.8967499009116136,0.911330049261
50,110,13,191.4607671225713,62.51050493028216,4,9,0,2,4,0,62,45,62,0,0,0,0,19,6,13,0,0,0,24,28,8,20,15,11,8,0,0,5,8,5,285,0.885883347421809,0.912087912088
Totals,47549,1500,NA,NA,773,727,85,106,1715,1106,1715,0,0,0,80,1420,113,1307,0,0,0,246,1670,145,1525,647,1053,619,30,14,396,619,396,402,0.917523566137566,0.918571428571
