Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4553,4500,199.65476866666668,100.4880008175992,2234,2266,0,983,932,0,26495,14550,26495,0,0,0,1392,1031,0,1031,0,0,0,7715,4352,0,4352,25,128,4500,0,0,0,0,0,402,0.9284748007054674,0.905428571429
2,5969,4500,200.16719133333334,100.84200100029337,2268,2232,0,987,983,0,25559,14035,25559,0,0,0,1330,1046,0,1046,0,0,0,6733,4897,0,4897,20,95,4500,0,0,0,0,0,402,0.9284592498530276,0.904349206349
3,2974,900,176.89651333333333,88.94193900993838,455,445,0,186,208,0,3113,1714,3113,0,0,0,638,288,0,288,0,0,0,0,1589,0,1589,42,179,900,0,0,0,0,0,402,0.9280539976484421,0.907724867725
4,3041,900,172.94310222222225,89.98858430022355,450,450,0,199,180,0,4135,2273,4135,0,0,0,537,371,0,371,0,0,0,0,2045,0,2045,56,170,900,0,0,0,0,0,402,0.9280801881246326,0.90671957672
5,158,100,140.13096000000002,60.526631419552835,54,46,0,20,14,0,225,124,225,0,0,0,348,23,0,23,0,0,0,187,104,0,104,4,3,100,0,0,0,0,0,401,0.9005380952380955,0.905714285714
6,52,100,139.81485,66.17040802494344,49,51,0,16,18,0,128,70,128,0,0,0,337,12,0,12,0,0,0,246,17,0,17,0,0,100,0,0,0,0,0,400,0.9000666666666668,0.900476190476
7,3932,2000,148.3332785,62.119607658282405,1001,999,0,403,426,0,4863,2699,4863,0,0,0,1590,653,0,653,0,0,0,0,2348,0,2348,33,176,2000,0,0,0,0,0,401,0.9045422916666668,0.905238095238
8,4463,2000,200.521888,100.45134508177806,983,1017,0,429,452,0,11418,6295,11418,0,0,0,448,654,0,654,0,0,0,1997,3246,0,3246,38,114,2000,0,0,0,0,0,401,0.9045187916666666,0.904261904762
9,2755,200,151.49589,60.44419462610036,92,108,0,40,47,0,454,252,454,0,0,0,239,220,0,220,0,0,0,0,387,0,387,107,184,200,0,0,0,0,0,401,0.9023410714285711,0.909285714286
10,900,200,154.97043,60.980980032343695,95,105,0,41,52,0,558,306,558,0,0,0,368,90,0,90,0,0,0,10,417,0,417,35,164,200,0,0,0,0,0,401,0.9026434523809522,0.910476190476
11,267,150,151.62334666666666,64.57844061397856,84,66,0,36,28,0,385,212,385,0,0,0,319,41,0,41,0,0,0,200,181,0,181,8,8,150,0,0,0,0,0,401,0.9020126984126984,0.905396825397
12,332,150,201.59118,105.08110360916912,76,74,0,28,40,0,773,425,773,0,0,0,189,56,0,56,0,0,0,197,274,0,274,21,42,150,0,0,0,0,0,401,0.9019671957671958,0.907936507937
13,144,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,91,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0
14,155,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,163,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0
15,130,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,130,13,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.0,0.0
16,130,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,123,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0
17,30,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,159,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,175,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0
19,419,100,188.35700000000006,97.36066491052739,55,45,0,20,15,0,415,229,415,0,0,0,194,51,0,51,0,0,0,109,236,0,236,28,50,100,0,0,0,0,0,402,0.9238214285714286,0.910476190476
20,607,100,196.94631000000004,102.15283227876698,52,48,0,17,26,0,595,327,595,0,0,0,199,44,0,44,0,0,0,42,380,0,380,18,112,100,0,0,0,0,0,402,0.9239142857142857,0.902857142857
21,84,50,215.35386000000003,102.76446558242006,30,20,0,14,10,0,461,253,461,0,0,0,191,12,0,12,0,0,0,315,54,0,54,6,1,50,0,0,0,0,0,398,0.8952476190476194,0.901904761905
22,237,50,185.32247999999996,107.95747701409846,21,29,0,7,10,0,249,137,249,0,0,0,100,24,0,24,0,0,0,64,137,0,137,10,25,50,0,0,0,0,0,397,0.8952857142857147,0.906666666667
23,215,100,134.62491000000003,57.678879260106115,52,48,0,15,16,0,135,75,135,0,0,0,349,28,0,28,0,0,0,184,66,0,66,8,6,100,0,0,0,0,0,401,0.9005619047619049,0.90380952381
24,133,100,199.99228,100.43703811155325,40,60,0,15,24,0,279,155,279,0,0,0,179,21,0,21,0,0,0,168,95,0,95,4,3,100,0,0,0,0,0,401,0.9000928571428574,0.903333333333
25,123,50,184.43276000000003,100.68723593694683,23,27,0,6,11,0,91,51,91,0,0,0,144,20,0,20,0,0,0,144,41,0,41,8,1,50,0,0,0,0,0,401,0.9202571428571431,0.90380952381
26,101,50,215.15892000000002,87.95656387941493,23,27,0,10,14,0,212,118,212,0,0,0,175,10,0,10,0,0,0,171,70,0,70,6,1,50,0,0,0,0,0,402,0.9194380952380955,0.90380952381
27,140,50,198.25590000000003,112.17424339878563,29,21,0,11,11,0,268,148,268,0,0,0,200,12,0,12,0,0,0,177,101,0,101,2,3,50,0,0,0,0,0,399,0.896314285714286,0.905714285714
28,26,50,202.3795,104.45263956248304,27,23,0,12,11,0,439,242,439,0,0,0,214,6,0,6,0,0,0,334,14,0,14,0,0,50,0,0,0,0,0,397,0.8955142857142862,0.90380952381
29,94,50,181.40312000000003,93.09424255272502,22,28,0,8,7,0,165,90,165,0,0,0,201,13,0,13,0,0,0,224,40,0,40,4,0,50,0,0,0,0,0,398,0.8961714285714291,0.899047619048
30,46,50,220.26267999999996,100.96513781448327,21,29,0,12,14,0,313,171,313,0,0,0,202,4,0,4,0,0,0,300,11,0,11,0,0,50,0,0,0,0,0,397,0.8941333333333337,0.899047619048
31,6124,2000,196.4258695,102.06473259816276,1009,991,0,427,409,0,10830,5964,10830,0,0,0,229,970,0,970,0,0,0,404,4623,0,4623,106,117,2000,0,0,0,0,0,402,0.9283504345238096,0.90469047619
32,5972,2000,202.08061600000002,99.46651438038103,1030,970,0,438,443,0,11651,6405,11651,0,0,0,315,838,0,838,0,0,0,1014,4379,0,4379,92,146,2000,0,0,0,0,0,402,0.9283363690476191,0.905380952381
33,1065,500,203.276222,106.24576509060827,246,254,0,105,117,0,2643,1460,2643,0,0,0,258,152,0,152,0,0,0,445,876,0,876,29,140,500,0,0,0,0,0,401,0.9036963809523807,0.90580952381
34,902,500,152.97368799999998,59.477718345937376,231,269,0,106,122,0,1077,597,1077,0,0,0,589,165,0,165,0,0,0,4,663,0,663,27,182,500,0,0,0,0,0,401,0.903798952380952,0.902
35,571,100,226.30215,91.16832989951882,49,51,0,24,30,0,620,426,620,0,0,0,236,49,10,39,0,0,0,146,261,52,209,34,67,100,0,0,0,0,0,402,0.9236333333333333,0.899047619048
36,377,100,226.12336000000002,89.48553542383483,54,46,0,26,26,0,755,519,755,0,0,0,251,45,9,36,0,0,0,170,269,54,215,34,33,100,0,0,0,0,0,402,0.9238619047619048,0.90619047619
37,354,100,224.17489,84.6370338039909,49,51,0,22,29,0,705,484,705,0,0,0,135,18,5,13,0,0,0,55,277,83,194,8,56,100,0,0,0,0,0,402,0.9236309523809524,0.905238095238
38,63,100,242.92782,91.7483210220634,55,45,0,32,27,0,1002,688,1002,0,0,0,190,10,3,7,0,0,0,389,58,17,41,1,0,100,0,0,0,0,0,402,0.9242214285714285,0.906666666667
39,97,100,207.45855,85.56219303283139,50,50,0,23,23,0,437,300,437,0,0,0,187,11,3,8,0,0,0,203,65,19,46,3,3,100,0,0,0,0,0,402,0.9237428571428571,0.9
40,222,100,215.98328,97.54395461053238,47,53,0,22,26,0,588,403,588,0,0,0,176,37,11,26,0,0,0,166,173,52,121,23,16,100,0,0,0,0,0,402,0.9238571428571429,0.907142857143
41,209,100,204.95052999999996,93.00424400740592,52,48,0,15,24,0,471,322,471,0,0,0,224,25,7,18,0,0,0,212,93,28,65,13,7,100,0,0,0,0,0,402,0.9238785714285713,0.898571428571
42,158,100,225.90528999999998,84.95608393826718,47,53,0,24,22,0,704,482,704,0,0,0,229,17,5,12,0,0,0,334,53,16,37,11,3,100,0,0,0,0,0,402,0.9240928571428572,0.908571428571
43,510,100,228.12045,83.99936549217203,53,47,0,30,24,0,636,437,636,0,0,0,184,26,8,18,0,0,0,74,278,83,195,19,79,100,0,0,0,0,0,402,0.9239738095238095,0.906666666667
44,244,100,219.41442999999995,89.68306906626859,57,43,0,25,20,0,419,286,419,0,0,0,198,37,11,26,0,0,0,156,142,43,99,26,9,100,0,0,0,0,0,402,0.9237738095238095,0.907619047619
45,199,100,235.91945999999996,92.02757749472926,52,48,0,28,28,0,608,417,608,0,0,0,169,30,9,21,0,0,0,182,149,45,104,21,11,100,0,0,0,0,0,402,0.9239761904761904,0.898571428571
