Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,6523,42,172.65451737260756,56.01013639961507,19,23,0,4,3,0,105,61,105,0,0,0,0,34,0,34,0,0,0,0,86,0,86,20,41,22,1,0,16,22,16,310,0.8757153655112839,0.904761904762
2,6033,32,197.15758225421996,56.24505742346583,18,14,0,5,2,0,131,76,131,0,0,0,0,17,0,17,0,0,0,0,91,0,91,9,34,18,0,1,13,18,13,305,0.8676292782738095,0.904761904762
3,2961,172,83.42194148980907,62.753542165240916,78,94,0,4,1,0,97,57,97,0,0,0,0,155,0,155,0,0,0,0,85,0,85,15,43,25,0,3,15,25,15,325,0.8518190334543767,0.866279069767
4,3093,59,156.52859372689704,71.30297100870136,26,33,0,4,4,0,127,72,127,0,0,0,0,40,0,40,0,0,0,0,94,0,94,13,37,28,3,1,14,28,14,319,0.8766706337806595,0.91202582728
5,5,45,111.15338982244185,68.8334021964488,21,24,0,2,2,0,0,0,0,0,0,0,54,0,0,0,0,0,0,47,0,0,0,0,0,15,2,0,4,15,4,286,0.8164844209288654,0.869841269841
6,241,36,179.5122850819641,40.835223217351974,20,16,0,1,5,0,38,22,38,0,0,0,0,34,0,34,0,0,0,0,59,0,59,18,43,26,1,1,8,26,8,311,0.8833039388594944,0.912698412698
7,3866,52,160.54453994875726,73.09993807111634,34,18,0,6,3,0,73,42,73,0,0,0,0,40,0,40,0,0,0,0,77,0,77,19,45,19,1,1,20,19,20,316,0.8553994082840242,0.865384615385
8,2565,77,124.64492342355408,80.53248698536348,40,37,0,8,4,0,110,62,110,0,0,0,0,58,0,58,0,0,0,0,78,0,78,9,24,25,1,1,15,25,15,325,0.8665839417230883,0.899814471243
9,2303,89,124.64173394063437,89.12701619002489,39,50,0,4,8,0,79,46,79,0,0,0,0,79,0,79,0,0,0,0,87,0,87,21,53,19,2,2,18,19,18,317,0.857701949609537,0.899411449973
10,3952,155,82.45141546625202,62.32465840645039,81,74,0,3,4,0,0,0,0,0,0,0,0,148,0,148,0,0,0,0,38,0,38,19,33,26,1,2,10,26,10,322,0.8596481839353844,0.901075268817
11,246,97,94.4181115616207,63.46609420010667,48,49,0,4,0,0,51,29,51,0,0,0,0,99,0,99,0,0,0,0,57,0,57,22,30,26,0,2,7,26,7,314,0.8531800859359581,0.85910652921
12,180,20,191.55507714718684,48.18969716857427,8,12,0,0,4,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,31,0,31,11,31,10,0,0,10,10,10,278,0.8672023809523811,0.897619047619
13,105,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.0,0.0
14,153,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,0.0
15,128,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0
16,191,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0.0,0.0
17,65,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0.0
18,87,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0
19,726,59,137.95477660457698,74.51168481823746,36,23,0,4,2,0,154,89,154,0,0,0,0,48,0,48,0,0,0,0,100,0,100,15,34,22,2,0,16,22,16,317,0.8621017496340678,0.874092009685
20,598,54,149.18872404156596,71.10418801429957,23,31,0,2,3,0,88,51,88,0,0,0,0,39,0,39,0,0,0,0,84,0,84,16,45,21,2,2,16,21,16,316,0.869896792736299,0.893298059965
21,69,81,98.11474369775063,72.20402118564884,41,40,0,3,5,0,21,12,21,0,0,0,64,11,0,11,0,0,0,42,10,0,10,3,1,22,1,0,8,22,8,309,0.846764067614548,0.915931804821
22,172,41,110.56330804473873,82.55240758668681,18,23,0,4,3,0,79,46,79,0,0,0,0,40,0,40,0,0,0,0,59,0,59,9,24,8,1,2,4,8,4,261,0.8395937792130532,0.90243902439
23,179,25,170.27494141538148,56.77111932212236,11,14,0,1,3,0,35,20,35,0,0,0,0,35,0,35,0,0,0,4,52,0,52,23,37,19,0,1,5,19,5,280,0.8735619047619049,0.910476190476
24,62,38,60.44150618985243,36.74504611655958,20,18,0,1,0,0,40,23,40,0,0,0,30,21,0,21,0,0,0,22,24,0,24,10,7,3,0,0,0,3,0,184,0.7717319614826542,0.875939849624
25,89,9,147.00037187251957,35.47145463904276,6,3,0,0,1,0,0,0,0,0,0,0,3,16,0,16,0,0,0,26,9,0,9,12,9,8,0,0,1,8,1,207,0.8497942386831279,0.904761904762
26,177,116,82.0227698423803,56.491061452456314,66,50,0,3,1,0,62,36,62,0,0,0,50,65,0,65,0,0,0,0,58,0,58,15,30,23,0,0,8,23,8,321,0.8629678387407281,0.901067323481
