Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,735,50.636431490707444,10.03471014248039,730,50.449706217453056,9.808846010650617,0,0,0,0,0,0,0,0,0,750,0,0
1,100.0,478,134.4593188156105,0.0,5,77.89832138584889,2.599736574781442,735,0,35,700,0,0,0,0,0,4,0,0
2,150.0,288,181.3429854668015,2.842170943040401e-14,478,134.4593188156105,0.0,478,0,23,455,0,0,663,0,92,571,0,0
3,200.0,143,218.25988232814936,0.0,431,193.59151505188908,17.382497703123125,431,0,44,387,0,0,653,0,184,469,0,0
4,250.0,81,247.32879632779216,2.842170943040401e-14,129,255.84574348973845,11.063838907402864,129,0,19,110,0,0,180,0,28,152,0,0
5,300.0,48,270.2180918255228,0.0,55,297.22281970997767,11.692190895821266,55,0,8,47,0,0,74,0,14,60,0,0
6,350.0,58,298.9779202319771,13.654742083013902,3,331.1547631353005,2.571863304394423,3,0,0,3,0,0,7,0,0,7,0,0
Totals,7,1831,NA,NA,1831,NA,NA,1831,0,129,1702,0,0,1577,0,318,2013,0,0
