Age class,Body Size Mean (mm),Body Size Std (mm),Distribution,Sex Ratio,Age Mortality Out %,Age Mortality Out StDev,Age Mortality Back %,Age Mortality Back StDev,Size Mortality Out %,Size Mortality Out StDev,Size Mortality Back %,Size Mortaltiy Back StDev,Migration,Straying,Maturation,Fecundity_mu,Fecundity_sigma,Capture Out Probability,Capture Back Probability
0,50,10,0,50~50~0,60,10,60,10,N,0,N,0,0,0,0~0~0,0,0,N,N
1,100,10,0,50~50~0,40,5,40,5,N,0,N,0,0,0,0~0~0,0,0,N,N
2,150,10,1,50~50~0,25,5,25,5,N,0,N,0,0.5,0.1,.05~.15~0,100,100,N,N
3,200,10,1,50~50~0,25,5,25,5,N,0,N,0,0.5,0.1,.05~.50~0,500,100,N,N
4,250,10,1,50~50~0,25,5,25,5,N,0,N,0,0.7,0.1,.35~.80~0,750,100,N,N
5,300,10,1,50~50~0,40,10,40,10,N,0,N,0,0.7,0.2,.75~1~0,1000,1000,N,N
6,350,10,1,50~50~0,40,10,40,10,N,0,N,0,0.7,0.2,1~1~0,1500,1000,N,N
