Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,596,49.79082140721923,9.65604779301417,594,49.69832707599927,9.539585366208321,0,0,0,0,0,0,0,0,6,480,0,0
1,100.0,511,134.45931881561052,2.842170943040401e-14,2,77.26163777954582,0.13003270524387034,596,0,9,587,0,0,0,0,0,8,0,0
2,150.0,232,181.34298546680154,5.684341886080802e-14,511,134.45931881561052,2.842170943040401e-14,511,0,45,466,0,0,554,0,81,473,0,0
3,200.0,123,218.25988232814925,1.1368683772161603e-13,355,194.13391029481778,17.56682938612338,355,0,82,273,0,0,604,0,222,382,0,0
4,250.0,82,247.32879632779213,5.684341886080802e-14,130,255.78022851156962,11.046294522441599,130,0,16,114,0,0,144,0,44,100,0,0
5,300.0,48,270.2180918255228,0.0,34,296.9034926580977,11.389905739400959,34,0,10,24,0,0,58,0,9,49,0,0
6,350.0,37,300.0356055371108,15.25602465257994,3,335.53288483259286,5.387618543892824,3,0,0,3,0,0,5,0,1,4,0,0
Totals,7,1629,NA,NA,1629,NA,NA,1629,0,162,1467,0,0,1365,0,363,1496,0,0
