Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,3358,82,97.65402956306944,70.74622376684438,44,38,0,5,3,0,159,91,159,0,0,0,0,69,0,69,0,0,0,0,93,0,93,7,24,20,1,1,8,20,8,308,0.8456346845698419,0.872822299652
2,6138,19,152.63726633757355,79.67587969301381,6,13,0,1,2,0,10,6,10,0,0,0,0,18,0,18,0,0,0,0,33,0,33,10,28,9,0,1,4,9,4,265,0.8564173591874418,0.904761904762
3,2944,40,189.74101247284824,55.5439080745861,21,19,0,6,4,0,264,153,264,0,0,0,0,17,0,17,0,0,0,0,155,0,155,7,43,22,0,2,15,22,15,322,0.8751190476190475,0.882142857143
4,3074,63,126.11428657608388,73.85057041938609,35,28,0,2,4,0,19,11,19,0,0,0,0,53,0,53,0,0,0,0,37,0,37,16,27,20,0,1,15,20,15,319,0.8699204549544687,0.866213151927
5,173,40,170.85866938869657,40.35532896473957,17,23,0,0,4,0,0,0,0,0,0,0,0,32,0,32,0,0,0,0,38,0,38,19,37,27,0,1,12,27,12,309,0.8683779761904761,0.858333333333
6,143,23,185.53994224686346,53.56178566104743,14,9,0,4,2,0,90,53,90,0,0,0,6,13,0,13,0,0,0,16,57,0,57,10,18,12,1,0,10,12,10,279,0.8669547213970658,0.900621118012
7,4656,39,163.52894948314815,75.22365740152827,19,20,0,3,2,0,14,8,14,0,0,0,0,27,0,27,0,0,0,0,36,0,36,10,29,18,1,0,11,18,11,306,0.863905325443787,0.898656898657
8,2772,63,103.5407626857205,81.91835347697815,35,28,0,7,2,0,92,53,92,0,0,0,0,56,0,56,0,0,0,0,65,0,65,7,25,10,0,1,11,10,11,300,0.8380784412530445,0.852607709751
9,3801,82,122.65671639264738,75.01278746325944,39,43,0,4,4,0,103,59,103,0,0,0,0,67,0,67,0,0,0,0,78,0,78,17,32,22,0,3,20,22,20,330,0.8724009234865866,0.883855981417
10,2653,59,113.71989074993853,75.3444534209671,27,32,0,3,2,0,58,33,58,0,0,0,0,58,0,58,0,0,0,0,56,0,56,17,30,18,0,0,10,18,10,299,0.8531347040396162,0.874899112187
11,257,43,185.57989237626683,50.586812725959234,24,19,0,6,2,0,26,16,26,0,0,0,0,36,0,36,0,0,0,0,43,0,43,21,33,25,2,1,15,25,15,312,0.8745911560946715,0.874861572536
12,204,21,156.7452841080878,34.60453549215454,12,9,0,0,1,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,29,0,29,9,29,18,1,0,2,18,2,273,0.8615700248353311,0.897959183673
13,129,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0.0,0.0
14,161,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0
15,165,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0
16,74,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0
17,47,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0
18,11,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
19,631,95,93.77768278864332,71.03504238213868,44,51,0,3,3,0,33,19,33,0,0,0,0,82,0,82,0,0,0,0,51,0,51,7,33,16,0,0,14,16,14,321,0.860936551906081,0.888220551378
20,610,63,123.06822148664202,80.5719573179053,34,29,0,4,3,0,57,33,57,0,0,0,0,51,0,51,0,0,0,0,53,0,53,12,27,18,1,0,13,18,13,313,0.8542454018644496,0.881330309902
21,165,30,139.8736887781048,71.29984572813315,16,14,0,2,1,0,21,12,21,0,0,0,0,30,0,30,0,0,0,0,33,0,33,12,24,16,3,0,2,16,2,280,0.8491005291005291,0.880952380952
22,161,25,152.83356978975797,71.88230502217456,15,10,0,2,0,0,11,6,11,0,0,0,0,20,0,20,0,0,0,2,25,0,25,9,19,10,1,0,8,10,8,285,0.8676952380952382,0.885714285714
23,280,40,180.09590111746957,47.67340304303262,19,21,0,3,4,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,27,0,27,18,26,25,0,0,15,25,15,319,0.8849553571428571,0.89880952381
24,375,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,31,0,31,14,31,0,0,0,0,0,0,0,0.0,0.0
25,191,74,83.23343104444416,67.57219896001604,37,37,0,1,5,0,10,6,10,0,0,0,0,79,0,79,0,0,0,0,45,0,45,16,40,10,0,1,6,10,6,280,0.8181067167553651,0.888674388674
26,143,22,170.3480830436654,47.848071182038126,9,13,0,1,1,0,38,22,38,0,0,0,0,22,0,22,0,0,0,10,36,0,36,14,19,15,0,0,7,15,7,272,0.8620129870129868,0.896103896104
27,172,36,74.10427694184666,53.49636830692228,14,22,0,2,0,0,39,23,39,0,0,0,0,50,0,50,0,0,0,0,43,0,43,19,25,7,0,0,1,7,1,228,0.8201793062904172,0.910052910053
28,84,25,100.92182679062132,70.23320894637429,10,15,0,0,2,0,0,0,0,0,0,0,13,26,0,26,0,0,0,14,14,0,14,9,14,6,0,0,4,6,4,223,0.807466666666667,0.914285714286
29,90,11,134.4593188156105,0.0,4,7,0,0,0,0,0,0,0,0,0,0,7,12,0,12,0,0,0,25,8,0,8,9,8,11,0,0,0,11,0,193,0.8203463203463204,0.896103896104
30,138,50,84.90362237343562,56.384511351475936,31,19,0,1,1,0,25,14,25,0,0,0,0,52,0,52,0,0,0,10,40,0,40,11,27,13,0,0,3,13,3,265,0.7748000000000002,0.86380952381
31,5140,50,112.79838539280352,70.75448199045314,19,31,0,3,0,0,118,68,118,0,0,0,0,59,0,59,0,0,0,0,78,0,78,20,26,15,1,1,6,15,6,293,0.8426095238095237,0.897142857143
32,5225,40,173.18728331876872,46.06356682553587,18,22,0,1,5,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,32,0,32,13,31,29,0,0,11,29,11,306,0.8686607142857142,0.891666666667
33,1032,77,118.58792081067291,71.99898851069094,41,36,0,3,3,0,66,37,66,0,0,0,0,57,0,57,0,0,0,0,59,0,59,11,29,30,1,1,11,30,11,320,0.8655679509111791,0.885590599876
34,840,39,173.91430990194738,63.35434158942997,20,19,0,3,4,0,29,17,29,0,0,0,0,32,0,32,0,0,0,0,44,0,44,15,32,23,1,2,10,23,10,320,0.8766632228170689,0.901098901099
35,541,78,91.51933863594493,72.481418345607,44,34,0,2,4,0,0,0,0,0,0,0,0,76,15,61,0,0,0,0,43,9,34,16,39,13,1,3,8,13,8,311,0.8597687924611002,0.900488400488
36,396,27,159.61207975791754,75.60055241859797,7,20,0,2,3,0,84,59,84,0,0,0,0,20,4,16,0,0,0,0,69,14,55,10,43,9,0,0,12,9,12,278,0.8598210203148478,0.888888888889
37,144,5,66.72051377796149,35.59478747401471,3,2,0,0,0,0,0,0,0,0,0,0,0,11,3,8,0,0,0,0,25,7,18,6,25,1,0,0,0,1,0,118,0.7676190476190481,0.866666666667
38,160,18,178.12280406680816,54.56310440379831,9,9,0,1,1,0,26,18,26,0,0,0,0,19,6,13,0,0,0,22,25,7,18,15,17,7,1,0,9,7,9,255,0.862580834803057,0.886243386243
39,217,11,115.42419222599769,43.4043747886914,5,6,0,0,0,0,0,0,0,0,0,0,0,15,4,11,0,0,0,0,29,9,20,9,29,8,0,0,0,8,0,221,0.8571428571428572,0.909090909091
40,248,2,101.3197873314067,33.13953148420378,0,2,0,0,0,0,0,0,0,0,0,0,0,18,5,13,0,0,0,0,35,10,25,17,35,1,0,0,0,1,0,71,0.6488095238095238,0.833333333333
41,68,16,200.76594938553407,49.8665083035214,7,9,0,2,2,0,13,9,13,0,0,0,17,6,2,4,0,0,0,25,9,3,6,4,5,10,0,0,6,10,6,264,0.8693266369047619,0.863095238095
42,225,18,135.1432434667607,80.99381602536171,7,11,0,2,2,0,5,3,5,0,0,0,0,23,7,16,0,0,0,0,24,7,17,14,22,8,0,0,4,8,4,236,0.8353909465020575,0.910052910053
43,59,20,158.38009233212824,84.30211062673663,9,11,0,2,4,0,33,24,33,0,0,0,13,9,3,6,0,0,0,35,11,3,8,2,2,8,0,0,6,8,6,260,0.8632142857142859,0.87380952381
44,304,34,156.72573315003626,75.26856463237687,17,17,0,2,4,0,17,13,17,0,0,0,0,32,10,22,0,0,0,0,30,9,21,15,26,13,0,0,12,13,12,305,0.872878563189982,0.890756302521
45,340,25,150.84418430125493,78.03466545318116,16,9,0,3,1,0,61,43,61,0,0,0,0,19,6,13,0,0,0,0,51,15,36,8,31,10,1,0,8,10,8,270,0.849257142857143,0.891428571429
46,143,30,177.6437535371146,49.63625872768357,15,15,0,3,2,0,51,36,51,0,0,0,0,23,7,16,0,0,0,20,30,9,21,13,14,19,0,1,10,19,10,289,0.8651587301587302,0.865079365079
47,280,15,175.12222965920037,44.14470094826154,7,8,0,2,1,0,5,3,5,0,0,0,0,23,7,16,0,0,0,0,45,14,31,18,41,9,0,0,6,9,6,241,0.8500529100529102,0.87619047619
48,122,24,185.40934383702188,49.06738030299601,11,13,0,2,2,0,11,7,11,0,0,0,0,16,5,11,0,0,0,22,20,6,14,8,16,11,1,3,9,11,9,278,0.8636739417989419,0.90873015873
49,285,23,170.18039051637663,60.15108733242703,11,12,0,1,3,0,44,32,44,0,0,0,0,33,10,23,0,0,0,0,45,14,31,21,32,14,1,0,6,14,6,273,0.8604284814114685,0.906832298137
50,255,1,134.4593188156105,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,5,11,0,0,0,0,38,11,27,16,38,1,0,0,0,1,0,38,0.40476190476190477,0.809523809524
Totals,49824,1598,NA,NA,793,805,94,93,1632,987,1632,0,0,0,75,1523,99,1424,0,0,0,201,1868,147,1721,610,1181,607,19,23,340,607,340,363,0.8857953308343814,0.885124262471
