Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,509,49.66948324221307,9.956209171550471,508,49.59265720673836,9.814122027311267,0,0,0,0,0,0,0,0,46,874,0,0
1,100.0,437,134.45931881561046,2.842170943040401e-14,1,88.69710926336514,0.0,509,0,15,494,0,0,0,0,0,3,0,0
2,150.0,236,181.34298546680157,8.526512829121202e-14,437,134.45931881561046,2.842170943040401e-14,437,0,41,396,0,0,469,0,31,438,0,0
3,200.0,145,218.2598823281494,2.842170943040401e-14,381,195.3927231174457,17.924217911136285,381,0,35,346,0,0,558,0,150,408,0,0
4,250.0,90,247.32879632779213,5.684341886080802e-14,139,255.39768466871877,10.935456575530848,139,0,18,121,0,0,198,0,36,162,0,0
5,300.0,49,270.21809182552283,5.684341886080802e-14,54,298.5795861162563,12.042628986077858,54,0,15,39,0,0,70,0,13,57,0,0
6,350.0,58,300.96292762653377,14.589838994187435,4,333.1380380152783,4.094019832758606,4,0,0,4,0,0,8,0,1,7,0,0
Totals,7,1524,NA,NA,1524,NA,NA,1524,0,124,1400,0,0,1303,0,277,1949,0,0
