Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,795,50.22674479663005,9.688498041252403,791,50.0834269299187,9.498907552468458,0,0,0,0,0,0,0,0,0,690,0,0
1,100.0,477,134.45931881561046,2.842170943040401e-14,4,78.56785293880091,2.439627184747413,795,0,49,746,0,0,0,0,0,5,0,0
2,150.0,315,181.34298546680154,5.684341886080802e-14,477,134.45931881561046,2.842170943040401e-14,477,0,5,472,0,0,713,0,104,609,0,0
3,200.0,134,218.25988232814936,0.0,449,192.36050034301667,16.892212001569806,449,0,31,418,0,0,708,0,209,499,0,0
4,250.0,86,247.32879632779208,1.1368683772161603e-13,133,255.41749473676458,10.94155227212667,133,0,5,128,0,0,184,0,23,161,0,0
5,300.0,47,270.2180918255229,1.1368683772161603e-13,51,298.27845622614706,10.780741403559865,51,0,3,48,0,0,82,0,25,57,0,0
6,350.0,57,302.3224976146507,15.778775061349345,6,336.6968494169312,7.5298018328019065,6,0,0,6,0,0,5,0,0,5,0,0
Totals,7,1911,NA,NA,1911,NA,NA,1911,0,93,1818,0,0,1692,0,361,2026,0,0
