Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,6598,27,168.75482664815684,41.43193135794933,15,12,0,1,1,0,31,19,31,0,0,0,0,21,0,21,0,0,0,0,56,0,56,11,44,21,0,0,6,21,6,333,0.8823567835913515,0.902998236332
2,6342,49,118.33235092589003,72.8556581903042,21,28,0,0,5,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,35,0,35,12,34,17,1,0,9,17,9,341,0.877600602923385,0.91156462585
3,2919,68,134.48473330792504,69.45022375615683,30,38,0,2,4,0,11,7,11,0,0,0,0,67,0,67,0,0,0,0,45,0,45,22,38,33,1,1,10,33,10,358,0.8847781759762728,0.895658263305
4,2992,45,130.04634400671912,77.87341981479679,24,21,0,3,2,0,67,40,67,0,0,0,0,39,0,39,0,0,0,0,68,0,68,12,40,14,1,0,11,14,11,327,0.8630570252792475,0.893121693122
5,205,27,167.86855590230468,41.782613922859426,16,11,0,2,0,0,0,0,0,0,0,0,0,29,0,29,0,0,0,0,33,0,33,15,33,18,0,0,9,18,9,326,0.8869292572996277,0.897707231041
6,151,31,112.42908082830355,57.489465959989786,13,18,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,24,22,0,22,9,21,14,0,0,4,14,4,301,0.8418066498191363,0.906298003072
7,3169,57,148.67691184454125,71.52761700455045,31,26,0,6,3,0,104,62,104,0,0,0,0,38,0,38,0,0,0,0,83,0,83,11,40,25,3,1,14,25,14,372,0.894267833326005,0.90142021721
8,5384,47,133.19625427724583,77.96196719680174,25,22,0,3,3,0,109,65,109,0,0,0,0,35,0,35,0,0,0,0,73,0,73,10,29,14,0,0,15,14,15,351,0.8815990859902133,0.918946301925
9,2325,65,113.92195281761676,70.6593626905187,26,39,0,1,2,0,18,11,18,0,0,0,0,59,0,59,0,0,0,0,48,0,48,15,40,20,1,0,12,20,12,348,0.8780219780219779,0.892307692308
10,3656,48,160.09414816373,72.05762805348638,21,27,0,6,4,0,104,61,104,0,0,0,0,37,0,37,0,0,0,0,79,0,79,12,36,23,1,0,15,23,15,352,0.8884135251322751,0.906746031746
11,319,103,90.82977946078094,73.37958650221573,48,55,0,4,3,0,108,65,108,0,0,0,0,99,0,99,0,0,0,0,81,0,81,14,36,15,0,1,13,15,13,354,0.8769530811664847,0.89644012945
12,355,61,121.35419381357762,73.28435176269126,32,29,0,3,2,0,60,36,60,0,0,0,0,47,0,47,0,0,0,0,57,0,57,10,33,18,0,1,14,18,14,342,0.8717382680027134,0.925839188134
13,168,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0.0
14,271,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,0.0
15,177,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0.0,0.0
16,200,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0
