Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4251,101,118.98382183058581,73.65767256825166,53,48,0,3,5,0,114,74,114,0,0,0,0,92,0,92,0,0,0,0,84,0,84,16,42,37,2,1,10,37,10,402,0.9240877411644984,0.913248467704
2,5040,116,116.29995772935833,73.93317891266614,64,52,0,4,3,0,47,30,47,0,0,0,0,103,0,103,0,0,0,0,62,0,62,24,39,37,0,0,20,37,20,402,0.9177424834380836,0.901888341544
3,3234,76,155.7969403486393,55.858890441191356,36,40,0,2,4,0,50,33,50,0,0,0,0,49,0,49,0,0,0,0,77,0,77,13,56,49,0,0,16,49,16,402,0.9154135338345867,0.905388471178
4,2956,90,136.65524989168574,70.39982274366281,50,40,0,3,5,0,0,0,0,0,0,0,0,75,0,75,0,0,0,0,58,0,58,20,57,42,0,0,18,42,18,402,0.9223456790123459,0.892063492063
5,98,17,122.10090322745766,75.9193592496913,10,7,0,1,2,0,32,21,32,0,0,0,0,31,0,31,0,0,0,42,16,0,16,21,5,8,0,0,2,8,2,339,0.8919097050584939,0.915966386555
6,167,14,132.4065978502632,100.33194427520223,4,10,0,1,3,0,0,0,0,0,0,0,0,22,0,22,0,0,0,29,27,0,27,11,27,5,0,0,2,5,2,301,0.8841107871720115,0.897959183673
7,4966,128,104.91493256817,69.58327995160639,60,68,0,5,2,0,41,27,41,0,0,0,0,115,0,115,0,0,0,0,60,0,60,21,43,45,0,0,11,45,11,402,0.9187273297991071,0.904017857143
8,2692,80,113.24380399018256,73.3051100915375,44,36,0,2,3,0,85,57,85,0,0,0,0,70,0,70,0,0,0,0,62,0,62,11,29,31,1,0,6,31,6,402,0.923236607142857,0.910714285714
9,4375,88,151.6223956665417,74.00843431983014,48,40,0,4,6,0,108,71,108,0,0,0,0,71,0,71,0,0,0,0,89,0,89,23,50,34,5,1,23,34,23,402,0.9230125934671389,0.906926406926
10,1618,117,106.16118160571997,71.32845567743227,67,50,0,5,1,0,15,11,15,0,0,0,0,103,0,103,0,0,0,0,62,0,62,18,54,37,2,1,13,37,13,402,0.9195321930364666,0.90638990639
