Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
30,108,6,207.70791252120202,74.03154748956851,5,1,0,2,1,0,92,57,92,0,0,0,0,14,0,14,0,0,0,12,54,0,54,13,19,3,0,0,3,3,3,174,0.8234126984126979,0.896825396825
31,4389,53,152.69972067219314,82.29551372744334,32,21,0,7,2,0,80,49,80,0,0,0,0,44,0,44,0,0,0,0,66,0,66,17,35,22,0,3,13,22,13,360,0.886360168845039,0.904761904762
32,4581,78,121.82798663652314,86.49323163501953,40,38,0,5,5,0,148,91,148,0,0,0,0,65,0,65,0,0,0,0,92,0,92,15,34,18,3,2,14,18,14,353,0.8784008014777245,0.910866910867
33,977,103,97.41542759854796,73.19438917889342,46,57,0,4,3,0,82,49,82,0,0,0,0,92,0,92,0,0,0,0,73,0,73,16,38,20,0,2,14,20,14,368,0.875956622633972,0.912621359223
34,958,41,179.67316671673433,47.92725185613221,20,21,0,1,4,0,42,26,42,0,0,0,0,33,0,33,0,0,0,0,48,0,48,19,31,29,1,0,11,29,11,356,0.8901305912013827,0.910569105691
35,463,35,147.70123611454756,67.257129784896,23,12,0,2,0,0,0,0,0,0,0,0,0,27,5,22,0,0,0,0,34,7,27,10,34,15,0,0,11,15,11,336,0.8836345966958212,0.900680272109
36,450,39,153.34899770511646,57.142171696266054,20,19,0,1,1,0,64,47,64,0,0,0,0,29,6,23,0,0,0,0,53,11,42,17,35,20,0,1,13,20,13,358,0.8955417801571648,0.91452991453
37,254,6,162.45498818456454,62.60021978458996,2,4,0,0,1,0,0,0,0,0,0,0,0,19,6,13,0,0,0,0,23,7,16,17,23,5,0,0,1,5,1,158,0.8115079365079361,0.873015873016
38,146,29,90.70974071610706,60.216894003652484,18,11,0,2,0,0,22,16,22,0,0,0,0,35,10,25,0,0,0,0,28,8,20,10,22,9,0,0,2,9,2,286,0.857680765528566,0.914614121511
39,259,28,157.03814910587386,60.968123443533294,12,16,0,4,0,0,141,102,141,0,0,0,0,19,6,13,0,0,0,0,62,19,43,10,22,15,0,0,9,15,9,329,0.8898809523809527,0.916666666667
40,248,13,158.57741797678162,48.85195064166897,7,6,0,2,0,0,38,28,38,0,0,0,0,23,7,16,0,0,0,0,37,11,26,16,27,11,0,0,2,11,2,257,0.8646097492251338,0.897435897436
41,221,25,87.56255453782003,48.41021575131574,11,14,0,0,0,0,0,0,0,0,0,0,0,36,11,25,0,0,0,0,29,9,20,15,28,9,0,0,1,9,1,274,0.8530285714285717,0.914285714286
