Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,615,49.51175995021966,9.868075804459536,611,49.3147442172036,9.590222496934688,0,0,0,0,0,0,0,0,0,683,0,0
1,100.0,544,134.4593188156105,0.0,4,79.60591316842408,3.4121461389017957,615,0,58,557,0,0,0,0,0,6,0,0
2,150.0,273,181.3429854668015,2.842170943040401e-14,544,134.4593188156105,0.0,544,0,29,515,0,0,527,0,35,492,0,0
3,200.0,160,218.25988232814933,2.842170943040401e-14,433,194.98433303681458,17.8188062946447,433,0,67,366,0,0,691,0,237,454,0,0
4,250.0,77,247.3287963277921,8.526512829121202e-14,121,255.6521765087851,11.01079701317555,121,0,11,110,0,0,181,0,33,148,0,0
5,300.0,44,270.21809182552283,5.684341886080802e-14,47,295.838458697989,11.127335152307959,47,0,13,34,0,0,67,0,15,52,0,0
6,350.0,54,300.8478007140615,16.762160303653097,7,334.48195425054803,6.032833016401284,7,0,2,5,0,0,6,0,2,4,0,0
Totals,7,1767,NA,NA,1767,NA,NA,1767,0,180,1587,0,0,1472,0,322,1839,0,0
