Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,727,49.99156096280153,9.783736133469288,722,49.80749898145111,9.563095719973903,0,0,0,0,0,0,0,0,0,859,0,0
1,100.0,524,134.4593188156105,0.0,5,76.57011106980235,0.8996291749750792,727,0,41,686,0,0,0,0,0,3,0,0
2,150.0,307,181.3429854668015,2.842170943040401e-14,524,134.4593188156105,0.0,524,0,42,482,0,0,654,0,73,581,0,0
3,200.0,147,218.25988232814936,0.0,454,193.2962538338018,17.274170046836762,454,0,35,419,0,0,713,0,240,473,0,0
4,250.0,83,247.32879632779213,5.684341886080802e-14,125,255.0195996150296,10.811503773921256,125,0,13,112,0,0,190,0,37,153,0,0
5,300.0,42,270.21809182552283,5.684341886080802e-14,49,297.647615295852,11.683583402995449,49,0,5,44,0,0,70,0,21,49,0,0
6,350.0,57,302.9345220046513,17.09044264075475,8,335.31682559604633,5.017690242159998,8,0,0,8,0,0,9,0,1,8,0,0
Totals,7,1887,NA,NA,1887,NA,NA,1887,0,136,1751,0,0,1636,0,372,2126,0,0
