Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4510,63,125.8125685689628,79.67661986041644,31,32,0,4,4,0,57,37,57,0,0,0,0,52,0,52,0,0,0,0,51,0,51,14,31,20,0,1,14,20,14,379,0.8917443520618122,0.904761904762
2,4821,47,125.2986024417934,78.08638243176622,23,24,0,5,2,0,47,31,47,0,0,0,0,42,0,42,0,0,0,0,37,0,37,12,21,18,0,0,8,18,8,374,0.8851344068636962,0.898682877406
3,2889,41,189.64758253494472,47.055084631391054,20,21,0,4,3,0,147,96,147,0,0,0,0,25,0,25,0,0,0,0,91,0,91,15,38,20,0,0,21,20,21,385,0.9075097022747234,0.923344947735
4,2745,63,127.21556277154805,79.61503973382817,32,31,0,6,4,0,91,60,91,0,0,0,0,56,0,56,0,0,0,0,60,0,60,13,29,19,0,1,14,19,14,386,0.8940359212468055,0.91761148904
5,186,38,158.73029919550763,67.13521760464297,22,16,0,1,3,0,0,0,0,0,0,0,15,27,0,27,0,0,0,0,30,0,30,16,30,23,1,0,7,23,7,359,0.8990898298377527,0.906015037594
6,161,58,102.89593964545129,70.62455791536557,31,27,0,2,4,0,0,0,0,0,0,0,0,55,0,55,0,0,0,13,22,0,22,11,20,16,1,1,7,16,7,371,0.8753609648377783,0.908045977011
7,5150,64,127.72524460962859,73.53569571252434,38,26,0,3,2,0,69,46,69,0,0,0,0,56,0,56,0,0,0,0,54,0,54,21,30,23,0,2,14,23,14,382,0.8901715959821429,0.911458333333
8,3036,41,117.46059229178877,79.24477796486366,21,20,0,0,3,0,0,0,0,0,0,0,0,44,0,44,0,0,0,0,28,0,28,18,28,10,0,0,10,10,10,350,0.8776663550607633,0.925667828107
9,2506,42,165.82432520361536,61.855095227790756,29,13,0,4,2,0,44,30,44,0,0,0,0,34,0,34,0,0,0,0,43,0,43,17,29,23,1,0,12,23,12,380,0.9038845697008963,0.93537414966
10,3088,58,154.4369109093193,88.10154011876138,28,30,0,3,9,0,103,69,103,0,0,0,0,44,0,44,0,0,0,0,78,0,78,14,42,15,2,1,20,15,20,382,0.8888299077062454,0.893267651888
11,242,105,90.33745836481555,68.05272727327718,41,64,0,1,6,0,24,16,24,0,0,0,4,97,0,97,0,0,0,0,38,0,38,11,28,19,1,2,7,19,7,376,0.8783954216607277,0.938321995465
12,226,36,136.81569508165552,80.18660584623171,17,19,0,2,4,0,69,46,69,0,0,0,0,26,0,26,0,0,0,0,45,0,45,9,22,9,0,0,12,9,12,354,0.8853615520282186,0.906084656085
13,172,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,0.0
14,191,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0.0,0.0
15,185,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0
16,184,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0.0,0.0
17,58,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0
18,70,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0
19,464,45,152.78817492077468,81.7735296792042,23,22,0,6,4,0,42,28,42,0,0,0,0,40,0,40,0,0,0,0,51,0,51,18,37,14,0,1,16,14,16,374,0.8992945326278662,0.928042328042
20,562,50,138.4244062794032,84.65143950173463,29,21,0,5,2,0,111,73,111,0,0,0,0,38,0,38,0,0,0,0,64,0,64,9,26,13,1,1,14,13,14,376,0.8872285714285715,0.917142857143
21,151,13,130.98325993001166,44.33401509732613,5,8,0,1,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,10,16,0,16,13,16,10,0,0,1,10,1,279,0.8837700760777683,0.915750915751
22,199,29,150.02242058553043,71.1270074623385,13,16,0,2,1,0,67,45,67,0,0,0,0,25,0,25,0,0,0,0,36,0,36,10,14,13,0,1,8,13,8,353,0.8927014325349644,0.927750410509
23,261,6,148.3419395405667,85.4630630922757,3,3,0,1,1,0,26,17,26,0,0,0,0,17,0,17,0,0,0,0,40,0,40,13,31,2,0,0,2,2,2,161,0.8234126984126982,0.936507936508
24,232,50,116.9884467603972,77.09283592114184,31,19,0,3,0,0,27,18,27,0,0,0,0,42,0,42,0,0,0,0,32,0,32,9,22,14,0,0,11,14,11,373,0.8876952380952382,0.934285714286
25,46,47,141.45960640973576,85.15005924289873,23,24,0,2,7,0,28,17,28,0,0,0,31,9,0,9,0,0,0,34,12,0,12,1,1,14,1,0,14,14,14,377,0.8847356054236997,0.910840932118
26,127,18,81.58781937838901,64.8460781574594,11,7,0,1,0,0,30,20,30,0,0,0,0,27,0,27,0,0,0,11,30,0,30,12,20,4,0,0,1,4,1,187,0.7802028218694885,0.941798941799
27,121,25,149.8847099523596,70.56530893735159,10,15,0,1,2,0,0,0,0,0,0,0,0,30,0,30,0,0,0,9,19,0,19,15,17,14,0,0,5,14,5,329,0.8895619047619048,0.902857142857
28,117,15,145.109528426502,29.70543461073972,6,9,0,0,1,0,0,0,0,0,0,0,0,22,0,22,0,0,0,16,16,0,16,18,16,14,0,1,0,14,0,271,0.8680423280423282,0.907936507937
29,68,29,172.73427066780218,46.899299531576915,14,15,0,2,3,0,22,14,22,0,0,0,26,2,0,2,0,0,0,21,15,0,15,0,7,23,0,1,5,23,5,360,0.9011097899326203,0.906403940887
30,88,22,68.39414166039246,32.12530686183595,11,11,0,0,0,0,0,0,0,0,0,0,1,31,0,31,0,0,0,27,5,0,5,10,5,4,0,0,0,4,0,238,0.840712317985045,0.919913419913
31,5158,34,192.30669627108276,72.61596622212795,14,20,0,3,7,0,110,71,110,0,0,0,0,22,0,22,0,0,0,0,67,0,67,11,27,15,0,0,16,15,16,365,0.9025374855824683,0.918767507003
32,5785,30,145.62327906587498,77.75801932922028,14,16,0,2,1,0,76,50,76,0,0,0,0,26,0,26,0,0,0,0,51,0,51,10,25,11,0,1,8,11,8,344,0.8911904761904763,0.925396825397
33,952,60,126.933178874945,83.49733366613222,28,32,0,3,5,0,14,9,14,0,0,0,0,50,0,50,0,0,0,0,34,0,34,13,26,18,2,1,11,18,11,370,0.8931878306878306,0.907142857143
34,1038,64,134.6836325451015,79.36206577438205,32,32,0,5,4,0,97,63,97,0,0,0,0,55,0,55,0,0,0,0,79,0,79,18,42,18,2,1,17,18,17,381,0.8947637648809523,0.919642857143
35,589,34,162.51143639934912,68.43144517388001,18,16,0,2,2,0,74,56,74,0,0,0,0,32,6,26,0,0,0,0,54,11,43,18,36,13,0,0,14,13,14,356,0.8889026198714781,0.910364145658
36,439,30,198.17165782063697,47.74559670176197,17,13,0,4,2,0,101,77,101,0,0,0,0,27,5,22,0,0,0,0,55,11,44,18,31,16,2,0,12,16,12,355,0.9002910052910055,0.887301587302
37,207,22,132.85461760974368,83.17362916530053,9,13,0,2,1,0,0,0,0,0,0,0,0,23,7,16,0,0,0,0,34,10,24,7,34,7,1,0,5,7,5,298,0.8649153876426601,0.935064935065
38,109,9,90.78370568234358,39.642532420391376,6,3,0,0,0,0,0,0,0,0,0,0,0,15,4,11,0,0,0,22,12,4,8,8,12,4,0,0,0,4,0,180,0.8236331569664908,0.941798941799
39,113,11,129.1018604248086,76.34576468786696,6,5,0,1,1,0,53,40,53,0,0,0,6,15,4,11,0,0,0,3,29,9,20,8,16,5,0,0,2,5,2,221,0.8473042109405746,0.883116883117
40,93,19,157.99115675546204,80.53801226626972,12,7,0,3,2,0,66,50,66,0,0,0,2,14,4,10,0,0,0,4,35,10,25,5,19,8,0,0,6,8,6,309,0.8814800158290459,0.917293233083
41,395,28,153.12481552508308,77.62580501298181,12,16,0,3,2,0,39,30,39,0,0,0,0,21,6,15,0,0,0,0,48,14,34,10,38,12,0,0,9,12,9,347,0.8926445578231296,0.921768707483
42,112,23,195.3334107167954,50.68095033432149,11,12,0,2,2,0,16,12,16,0,0,0,1,19,6,13,0,0,0,13,24,7,17,15,20,13,0,0,10,13,10,332,0.8964803312629399,0.92132505176
43,3,18,184.31197146467758,45.642469549388885,10,8,0,1,1,0,35,26,35,0,0,0,8,0,0,0,0,0,0,34,0,0,0,0,0,8,1,0,9,8,9,319,0.8936654908877134,0.917989417989
44,258,15,173.52260491563632,48.05354415227154,6,9,0,1,2,0,0,0,0,0,0,0,0,17,5,12,0,0,0,0,26,8,18,13,25,10,0,0,5,10,5,301,0.8882539682539684,0.911111111111
45,186,28,115.3703423839241,76.38970998915686,19,9,0,1,1,0,8,6,8,0,0,0,0,29,9,20,0,0,0,0,23,7,16,9,20,10,1,0,3,10,3,318,0.8766399416909623,0.916666666667
46,267,48,106.04653407330552,73.51992921041087,22,26,0,1,4,0,0,0,0,0,0,0,0,42,13,29,0,0,0,0,33,10,23,10,33,12,0,0,8,12,8,367,0.8869150958994709,0.918650793651
47,50,34,121.79211866904568,88.86767791186533,18,16,0,2,4,0,46,35,46,0,0,0,18,16,5,11,0,0,0,41,12,4,8,4,1,9,0,0,7,9,7,323,0.8642898335804913,0.896358543417
48,518,29,143.177145413615,66.85986920549956,18,11,0,1,0,0,68,51,68,0,0,0,0,32,10,22,0,0,0,0,44,13,31,17,26,13,1,1,7,13,7,347,0.8913425060868584,0.911330049261
49,217,19,144.87008035201956,75.36751926781164,11,8,0,4,1,0,94,72,94,0,0,0,0,30,9,21,0,0,0,0,68,20,48,19,45,10,0,0,4,10,4,321,0.8893945389790264,0.914786967419
50,285,18,191.46531765925315,50.04397522861245,10,8,0,3,2,0,20,15,20,0,0,0,0,20,6,14,0,0,0,0,44,13,31,15,39,9,0,0,9,9,9,321,0.8864638447971783,0.944444444444
Totals,49630,1578,NA,NA,805,773,103,111,1921,1326,1921,0,0,0,131,1447,99,1348,0,0,0,258,1685,151,1534,605,1075,575,18,17,385,575,385,402,0.9140469042122963,0.916379986722
