PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration,Set Migration,Straying,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb
1,965721.3215,4867232.962,1,5000,100,500,1,1,random_var,classvars/ClassVars_migratoryTrib.csv,N,0,N,0,0,0,1,Y,1,N,0,150,0,N,0,150,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,966628.8474,4864745.877,2,5000,100,500,1,1,random_var,classvars/ClassVars_migratoryTrib.csv,N,0,N,0,0,0,1,Y,1,N,0,150,0,N,0,150,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,964515.462,4865832.552,3,5000,100,500,1,1,random_var,classvars/ClassVars_migratoryTrib.csv,N,0,N,0,0,0,1,Y,1,N,0,150,0,N,0,150,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,964432.5805,4864575.139,4,5000,100,500,1,1,random_var,classvars/ClassVars_migratoryMainstem.csv,N,0,N,0,0,0,1,Y,1,N,0,150,0,N,0,150,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,965249.5088,4863817.334,5,5000,100,500,1,1,random_var,classvars/ClassVars_migratoryTrib.csv,N,0,N,0,0,0,1,Y,1,N,0,150,0,N,0,150,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
