Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,4281,123,78.36592230085093,63.615308376115124,66,57,0,4,1,0,113,68,113,0,0,0,0,118,0,118,0,0,0,0,78,0,78,13,32,10,2,0,11,10,11,389,0.8898567557104144,0.925280681378
2,4974,38,126.39714597864248,75.33680236050826,22,16,0,2,1,0,26,16,26,0,0,0,0,34,0,34,0,0,0,0,47,0,47,11,37,10,1,0,10,10,10,354,0.8785450468275954,0.914786967419
3,2641,79,111.73563272927002,72.50161403055479,38,41,0,3,1,0,84,51,84,0,0,0,0,75,0,75,0,0,0,0,60,0,60,16,26,25,0,0,13,25,13,389,0.8948314143795637,0.918022905365
4,2574,57,126.14743663062272,77.63702779974673,28,29,0,2,3,0,106,64,106,0,0,0,0,51,0,51,0,0,0,0,74,0,74,15,32,21,1,0,12,21,12,376,0.890933474035967,0.900584795322
5,54,28,89.2662759110426,42.38827018091199,13,15,0,0,0,0,0,0,0,0,0,0,19,16,0,16,0,0,0,32,2,0,2,3,2,13,0,0,0,13,0,307,0.8509171525753161,0.923469387755
6,105,58,115.95886544145539,75.19332526756905,31,27,0,4,2,0,141,86,141,0,0,0,16,42,0,42,0,0,0,17,74,0,74,11,19,21,2,0,6,21,6,373,0.8583460732687842,0.934318555008
7,5017,105,94.33506427704054,69.49051495789915,59,46,0,3,2,0,75,45,75,0,0,0,0,98,0,98,0,0,0,0,71,0,71,21,41,23,1,0,12,23,12,391,0.8838397581254723,0.922448979592
8,2506,34,166.3092794719044,48.997661275267404,19,15,0,1,2,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,30,0,30,7,28,24,1,0,9,24,9,379,0.9027022573735377,0.917366946779
9,3851,52,130.55558234676158,81.81233125555369,25,27,0,1,5,0,0,0,0,0,0,0,0,49,0,49,0,0,0,0,46,0,46,14,44,13,2,1,11,13,11,373,0.8842983939137785,0.913919413919
10,3684,26,183.9376428491778,49.31169162159838,14,12,0,5,0,0,34,20,34,0,0,0,0,16,0,16,0,0,0,0,32,0,32,9,18,16,2,0,8,16,8,365,0.9071921668075514,0.915750915751
11,193,61,118.42764259343554,74.39291538660213,31,30,0,3,3,0,66,40,66,0,0,0,0,61,0,61,0,0,0,0,64,0,64,17,36,22,0,0,10,22,10,379,0.8902368794870813,0.927400468384
