Age,Class,N_Initial_Age,AgeSize_Mean,AgeSize_Std,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack_Class,Capture_Back,PackingDeaths_Emigration_Class,N_AfterEmigration_Class,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut_Class,Capture_Out,PackingDeaths_Immigration_Class,N_Immigration_Class,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,50.0,424,50.63742120867316,9.956129562624522,422,50.504621543184804,9.789298125466322,0,0,0,0,0,0,0,0,0,463,0,0
1,100.0,435,134.4593188156105,0.0,2,78.65815062671507,2.304224342435468,424,0,50,374,0,0,0,0,0,3,0,0
2,150.0,251,181.34298546680154,5.684341886080802e-14,435,134.4593188156105,0.0,435,0,43,392,0,0,365,0,10,355,0,0
3,200.0,112,218.2598823281493,5.684341886080802e-14,363,192.73332279041298,17.051572474293078,363,0,37,326,0,0,562,0,170,392,0,0
4,250.0,89,247.32879632779216,2.842170943040401e-14,134,255.01550003971656,10.810079496045724,134,0,18,116,0,0,165,0,51,114,0,0
5,300.0,45,270.2180918255229,1.1368683772161603e-13,37,298.4315428972541,12.363758868198367,37,0,10,27,0,0,55,0,12,43,0,0
6,350.0,40,300.99318280396426,14.96375908750298,3,332.58674165338954,4.596986745702774,3,0,2,1,0,0,2,0,0,2,0,0
Totals,7,1396,NA,NA,1396,NA,NA,1396,0,160,1236,0,0,1149,0,243,1372,0,0
