Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
1,3277,22,191.56335238766712,45.87157802670433,9,13,0,1,2,0,3,2,3,0,0,0,0,21,0,21,0,0,0,0,34,0,34,11,33,12,1,1,8,12,8,259,0.8620129870129869,0.874458874459
2,5764,23,186.5959417968668,54.6918151129199,12,11,0,0,5,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,21,0,21,6,21,14,0,0,9,14,9,260,0.8526870105320015,0.850931677019
3,2605,39,156.873129937842,81.96222872722197,25,14,0,2,4,0,49,28,49,0,0,0,0,28,0,28,0,0,0,0,52,0,52,10,31,16,1,0,12,16,12,288,0.8541686233993926,0.893772893773
4,2532,23,199.32420836672875,52.70306634020641,10,13,0,3,1,0,27,16,27,0,0,0,0,20,0,20,0,0,0,0,39,0,39,14,28,9,1,0,13,9,13,261,0.8534071473579985,0.87784679089
5,123,39,139.86678307815802,70.64216500871684,23,16,0,2,3,0,97,56,97,0,0,0,7,32,0,32,0,0,0,21,61,0,61,10,20,19,1,1,7,19,7,268,0.8567358567358567,0.885225885226
6,141,30,126.69562210397908,69.75592060397175,12,18,0,0,3,0,0,0,0,0,0,0,0,25,0,25,0,0,0,13,21,0,21,9,19,12,0,0,7,12,7,254,0.8361375661375663,0.873015873016
7,3939,140,78.017613578252,58.83802050581428,74,66,0,3,2,0,80,46,80,0,0,0,0,132,0,132,0,0,0,0,68,0,68,12,31,23,0,0,8,23,8,306,0.8467917881438289,0.875850340136
8,4118,23,176.84211980585297,42.97731370880142,12,11,0,0,1,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,21,0,21,11,20,14,1,0,8,14,8,261,0.8548474210099923,0.879917184265
9,3511,30,181.18478976750978,53.91779879458534,16,14,0,2,3,0,37,21,37,0,0,0,0,29,0,29,0,0,0,0,40,0,40,14,23,20,1,1,8,20,8,263,0.8519841269841271,0.863492063492
10,2953,20,126.94810783324507,58.81292354560014,12,8,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,16,0,16,6,16,7,0,1,5,7,5,229,0.8367261904761907,0.885714285714
11,266,13,172.98711392557954,38.574967109683534,9,4,0,1,0,0,17,10,17,0,0,0,0,15,0,15,0,0,0,0,34,0,34,10,27,9,0,0,4,9,4,228,0.8354466046773739,0.875457875458
12,143,80,94.1288464730134,70.16917794770337,43,37,0,1,4,0,0,0,0,0,0,0,8,67,0,67,0,0,0,0,20,0,20,11,17,14,0,1,10,14,10,282,0.820357142857143,0.846428571429
13,119,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0
